municipio,populacao_residente_por_cor_(%)_(1)_branca,populacao_residente_por_cor_(%)_(1)_preta,populacao_residente_por_cor_(%)_(1)_parda,populacao_residente_por_cor_(%)_(1)_amarela,populacao_residente_por_cor_(%)_(1)_indigena
Abreu e Lima,33.43203729910853,4.916641304254185,59.99955662892628,0.010478648682049903,0.3088751238449521
Afogados da Ingazeira,42.86066306231157,2.5442039844434383,54.24121320007086,0.0,0.02887330377857551
Afranio,52.50014634136727,14.64808252071212,31.77905191560127,0.014792391096783482,0.0
Agrestina,54.89296449896859,6.167718593434279,38.74286384515826,0.0,0.16163593441941973
Agua Preta,26.482364674621866,15.785018458982824,51.522193710985384,0.5805528782209703,4.483679403348012
Aguas Belas,36.30550749422547,7.179118602003085,49.22934139958256,0.02370422321979972,6.602478995608083
Alagoinha,48.70291175890404,3.299179823822614,47.61916016285064,0.033750553092663484,0.0678862654194864
Alianca,24.196200861979086,6.957192018201703,68.165120383174,0.0704870331283216,0.07783323601092004
Altinho,40.48993097794388,6.006429080295539,52.504531939176545,0.19551686638801763,0.04053726266354378
Amaraji,37.3096531219376,4.688873499040155,57.076519921045865,0.07574494284108843,0.10060313186921022
Angelim,37.27588531436394,3.310592589540347,58.85154623660821,0.0,0.048181841223126604
Aracoiaba,28.833486770383477,16.709049556778073,54.09278485104026,0.0,0.0
Araripina,31.185409300183302,8.44451923112256,59.4235276644657,0.23749026892556702,0.2519198947262568
Arcoverde,41.20733549157689,4.784681624336113,53.30365786245898,0.0,0.2725438650344139
Barra de Guabiraba,39.520749051016125,3.0405385569843046,55.34084145520546,0.05341716071075563,0.0
Barreiros,30.47276723887662,6.577893992076163,62.27987719082678,0.043963141419022585,0.054274679322387394
Belem de Maria,49.8275563225548,6.415700343411491,41.56495384604405,0.6610769606731005,0.09039763438879778
Belem de Sao Francisco,23.297901656121983,7.100513337204578,68.46667843682155,0.037633822247887964,0.2953365854555026
Belo Jardim,43.667609166667425,3.0651737926372666,52.2333659895947,0.08011275952781288,0.11069724201661771
Betania,28.86900943039531,11.917945331526438,58.719014136611705,0.19314069341272846,0.0
Bezerros,64.66089880529383,3.702396602608603,30.785971722092103,0.09198333766199676,0.1156121022992115
Bodoco,29.651945811024877,5.474397825488094,63.98073097434356,0.3049902802614364,0.045262503009561146
Bom Conselho,33.477235106147894,5.133494154834975,60.22678426010222,0.09616683972832901,0.3445304215982389
Bom Jardim,42.57408506133518,2.2833785629157237,53.8556741306695,0.03455576508434963,0.0
Bonito,43.22269604471761,5.145160567693634,50.086397113919524,0.0,0.03806849018842452
Brejao,38.76396552146761,1.349382128581406,59.68245647993455,0.0,0.0
Brejinho,40.49088555109595,3.0491153909367537,56.13026286328219,0.0,0.0
Brejo da Madre de Deus,38.94666117686032,3.968557847007992,56.57663520932593,0.028570722716726164,0.018401304468958688
Buenos Aires,34.09891013371937,3.578005901316656,61.84503821688766,0.0,0.0
Buique,28.062728155468893,6.083229536848974,64.09772217276657,0.1986680550049112,0.8015746911515015
Cabo de Santo Agostinho,33.43142559579276,4.5760918127619,60.920759556906035,0.08618454008055786,0.27269979807222433
Cabrobo,34.56272296988993,7.367467546985806,51.42068241156181,0.1361765478499114,4.992988920384336
Cachoeirinha,53.77620474288858,3.4063476869398865,41.55858942230489,0.0,0.5904883991885017
Caetes,48.08139149985182,1.5985585459279898,49.53797147130874,0.0361592055765607,0.0
Calcado,33.14674615120322,4.020463918417335,60.15496272195012,0.0,0.06573341207303694
Calumbi,30.568979125231728,2.619933704749015,66.43619365630312,0.06623302654050621,0.05440471184019723
Camaragibe,38.83918436699665,5.493125635731194,54.894365080805144,0.10745850808858552,0.3397970850185246
Camocim de Sao Felix,55.29986186007987,3.907219777047853,39.75852086535204,0.0,0.0
Camutanga,37.05591539510236,2.785489743579532,59.64369118055164,0.06303429640385066,0.0
Canhotinho,45.55485871177885,4.345428259810524,49.57004789847714,0.023604528531186438,0.0
Capoeiras,43.986103601155015,4.692784107260218,50.68815868203495,0.2249666751955268,0.0
Carnaiba,42.51546672294339,3.8833528161380673,52.17572872647285,0.0,0.12029042857034197
Carnaubeira da Penha,25.57128158209942,6.726368057851197,49.94245699730724,0.038615017109843795,16.008397633072242
Carpina,40.27617887601875,6.041825488668808,52.86033413646002,0.027069876196995423,0.05034742292100174
Caruaru,56.407356952388575,2.9725999206942864,39.42869174966274,0.06474184049066037,0.2044429901749202
Casinhas,48.4348961355578,1.6827738170434474,49.166757139735985,0.0,0.0
Catende,35.952817379371645,5.944323355953133,55.79761386125001,0.205723252868065,0.5479084330782213
Cedro,40.35657305954549,8.937236233696826,50.484698285850996,0.0,0.0
Cha de Alegria,32.553193551314926,3.3866263492942332,63.434575174604866,0.2215472916583625,0.11670969392860141
Cha Grande,49.676019826082715,4.156803363150406,44.803386895570846,0.1576627511066895,0.16292240696715032
Condado,32.38009840250975,2.4927309006479654,61.9556804801362,0.03964803216069826,2.018624397731026
Correntes,49.553346227895744,4.125027619119263,45.6292972820405,0.04690912203859421,0.24060955832740755
Cortes,49.460833888571585,3.7826928357504332,45.95930876995798,0.0,0.0
Cumaru,60.04449191598466,4.142910976950532,31.540704257762908,0.3208476827054539,0.24199986940383095
Cupira,58.57764271926003,9.123637132881083,31.24029034353627,0.1122322454101645,0.4545843440585997
Custodia,37.989380323549305,3.284380833892765,57.92681061421242,0.0982467380871152,0.07689678434552641
Dormentes,58.00520864918906,6.96422836212455,33.936735697561424,0.0353212264945576,0.41065268330802523
