municipio,numero_medio_de_moradores_por_domicilio_particular_permanente_total,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_ate_um_quarto,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_quarto_a_meio,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_meio_a_um,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_a_dois,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_2_a_3,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_mais_de_3
Salgueiro,4.26691474961479,5.13229289139163,4.64849356474207,3.80217399192194,3.59057742372304,3.3670827718961,3.1621578807419
Saloa,3.82801556421227,4.66872111746528,3.75576547143713,2.95754022865408,3.4088421675512,2.28334269083569,2.8217541271831
Sanharo,3.65897349649101,4.62874335371327,4.21353062249973,2.92666118532753,2.85014589069788,2.78687283681189,2.75717922927492
Santa Cruz,4.30714285724541,5.31294434956128,4.13065767701585,2.69098292501369,2.64384142264245,2.88789547756133,3.58416325440372
Santa Cruz da Baixa Verde,3.92503748125937,5.34289178396373,3.8985847672439,2.86589616121651,2.87968790424504,2.75914587410888,3.04713126336004
Santa Cruz do Capibaribe,3.68679874336699,4.21336930615824,4.30470470653634,3.86254095366529,3.31053639776006,3.42430887431942,2.88223182406477
Santa Filomena,4.41214667698739,5.18693664134511,4.26807352443001,3.09102239217711,2.55180661723778,2.46979245546452,2.73777631121345
Santa Maria da Boa Vista,4.76617324551605,5.42549109127307,5.19360047823543,4.3489549106625,4.14584643324066,3.59043529918569,2.81901515494593
Santa Maria do Cambuca,3.81943510426241,4.7358506783978,3.66404407579313,2.71544963035062,3.10874743226098,3.46128410432154,4.16563963359318
Santa Terezinha,4.25493562257326,5.06603735672429,4.08185307628676,3.29682557564283,4.14892989620348,3.96055907700422,4.20310254168204
Sao Benedito do Sul,4.17893730378975,5.03539658902508,4.05097785345072,2.65067496738076,3.3076048977466,2.92264975418001,3.86474569177562
Sao Bento do Una,4.10415329599196,5.31293637414785,4.30609757186655,3.0655700285878,3.13631447144668,3.03586682107563,3.20192282233635
Sao Caitano,3.74258742668923,4.7625255155524,3.82300644513977,2.95821719970715,3.05598606139197,3.52682368396888,2.72798795498206
Sao Joao,4.17404299354422,5.34191938229118,4.04748666725734,2.97848361921263,3.12799837801018,3.17652517302835,3.04518049712744
Sao Joaquim do Monte,3.80967178105411,4.82098047308681,4.10169974711023,2.92144028548201,2.76891180336799,2.87079762554282,2.06743249029785
Sao Jose da Coroa Grande,4.34041163017204,5.45062627924133,4.31296295751052,3.59620751458188,3.3547030739827,3.19720013477263,2.73966133012444
Sao Jose do Belmonte,4.37961137714471,5.72591081405354,4.3178805940139,3.1349414047772,3.09378854792796,4.00799165682057,2.27686255354157
Sao Jose do Egito,3.57979249014068,4.56718656170605,3.72718688547293,2.85425910713368,2.94940379997723,2.85000286359217,2.87344230884314
Sao Lourenco da Mata,3.99748799179571,4.79231828841181,4.30492937937636,3.65749692176202,3.45591111474189,3.28844134164084,3.17504875267743
Sao Vicente Ferrer,4.23993515270727,5.53558214507829,4.41317907254677,2.96044362637353,3.24778523346724,2.79384908506791,2.5054959772315
Serra Talhada,3.93010267399379,5.01879572320995,4.18264974157777,3.32926290459196,3.32629162484125,3.40160629706229,3.20562695943885
Serrita,4.84986430967576,5.72626677624762,5.68034326324873,3.6673279429358,3.33645190921228,3.02690893083992,2.84551338331732
Sertania,3.82318660882244,4.83897887518767,4.17175092845213,2.89704178306497,3.05059506200027,3.26236019612501,2.96968559454599
Sirinhaem,4.77670766035875,5.65850318113404,5.10116115767308,3.74785145405663,3.47677677207835,3.30473305175868,3.29360873853434
Solidao,4.33038585215965,5.30794129698745,3.97550153688125,2.4601225114822,3.30683712133384,4.56472293872416,-
Surubim,3.81988873430013,4.75709057027798,4.14802826613681,3.24586520920423,3.38806676065025,3.29905182287753,3.21822032811357
Tabira,3.81347234019258,4.72678169219738,3.81926664766428,2.98330512897447,2.91852042542736,3.40979928435443,2.86712306786184
Tacaimbo,3.87092883000895,4.85641839346569,4.15545809435369,3.06359799671327,2.61583079568794,2.46888215456072,3.20875496072696
Tacaratu,4.28796223451728,5.52166929813396,4.29583945791243,3.05677550760386,3.03111516245589,3.25788934062889,1.80066403157953
Tamandare,4.33178654286759,5.25272707235774,4.7589156911866,3.44204905020141,3.11720034584313,1.79058210453875,2.41439367792569
Taquaritinga do Norte,3.64769288956817,4.79808147640041,4.17958752759809,3.27613311308201,3.29118601852574,2.45227433783708,3.09679042753697
Terezinha,4.17607973427476,5.24747931321946,3.66691980713369,2.67001517417083,2.58518546532722,3.36589137840147,3.24012047575467
Terra Nova,4.35885151275254,5.07227054244058,4.93954477910061,3.98596616594021,3.33125510245669,3.3169597164679,3.44938383932429
Timbauba,4.18581358852836,5.20534627205477,4.54653111262807,3.42898472498756,3.55266747681154,3.16611948111248,2.89084317304675
Toritama,3.87397559640231,5.1368000442369,4.37161017415586,4.14350223259525,3.59165608603756,3.32506629779877,2.92526423792442
Tracunhaem,4.36250270298251,4.88062394750965,4.7582674342807,3.83529970495838,3.24985873410059,3.36852550354926,3.62604931508391
Trindade,4.25100168929946,5.26651013106301,4.32865716720111,3.53719663349287,3.63740606190117,3.00183367373171,3.48998913075674
Triunfo,3.96641602257595,5.18277957855424,4.25370570406867,3.39995818408119,2.98719338315118,2.62517198004082,3.26142277188437
Tupanatinga,4.46910705187224,5.44138526156068,4.20810295011255,2.93118415869442,3.3187961932705,3.80782915605532,3.16293152413568
Tuparetama,3.51417769381164,4.41919789675257,3.85947514717584,2.66336749871186,2.83433570405604,3.21945154713608,2.19415928247625
Venturosa,3.99846011711731,5.040550393199,4.32202647730746,3.18830634292784,3.21174883389552,3.39119427521282,2.74343520680413
Verdejante,4.2846105918576,5.61167148381745,4.25752229713162,2.87328259888441,3.16984313021226,3.93697827688624,3.77480398431259
Vertente do Lerio,4.01306715067405,5.39508099032765,3.72455575016528,2.4978979278323,2.64142776452587,1.81249568386138,2.89326456554604
Vertentes,3.64646996839739,4.72870192746324,3.77945257682443,3.02160807981391,3.15662307875211,3.04634224096118,2.73525429775078
Vicencia,4.38803894293567,5.50022104847173,4.46946938600224,3.18961557235133,3.7614986975378,3.20629154381075,3.14607866669434
Vitoria de Santo Antao,3.84550688353534,4.57187942686466,4.16173744414875,3.43142330207359,3.47179563795076,3.26860442322757,2.96954030852096
Xexeu,4.31900229728495,5.31213071844522,4.26143270446454,3.30794957820117,2.83536269584428,3.25511277690641,3.02526678810359
