municipio,populacao_total,populacao_sexo_(%)_masculino,populacao_sexo_(%)_feminino,populacao_situacao_do_domicilio_(%)_urbana,populacao_situacao_do_domicilio_(%)_rural,populacao_proporcao_de_pessoas_naturais_dos_municipios_(%)
Sanharo,15879.00000019,48.9325524274643,51.0674475725361,47.9438251785939,52.0561748214066,80.1682201412409
Santa Cruz,11263.99999969,50.4527698869534,49.5472301130471,25.3995028389448,74.6004971610555,84.857911910894
Santa Cruz da Baixa Verde,10859.0680981901,49.4893726869224,50.5106273130767,38.1892807231884,61.8107192768107,82.9186551182118
Santa Cruz do Capibaribe,59047.99999968,48.0050128708233,51.9949871291771,96.914374746122,3.08562525387799,50.39934009103
Santa Filomena,12114.99999917,51.1349566652448,48.865043334755,13.9744118865537,86.025588113446,89.196780090799
Santa Maria da Boa Vista,36914.00000028,50.3819689009559,49.6180310990439,37.9368261364355,62.0631738635642,55.4626946013293
Santa Maria do Cambuca,11738.99999963,49.2716585736631,50.7283414263371,19.2605843788335,80.7394156211668,85.1020938626366
Santa Terezinha,10250.9999991299,48.4928299685096,51.5071700314911,58.2073376441952,41.7926623558056,71.3850131525812
Sao Benedito do Sul,10476.99999987,50.1861219816289,49.8138780183714,47.2158568476795,52.7841431523209,84.733116996661
Sao Bento do Una,45585.2433947803,49.6169337179405,50.3830662820589,51.126194058884,48.8738059411154,84.1333959960422
Sao Caitano,33426.0000004301,48.9409441750719,51.0590558249279,67.3098785377565,32.6901214622431,80.9865886954222
Sao Joao,19966.5956847401,49.9092558634625,50.0907441365369,35.7797599195138,64.2202400804855,83.6542868657153
Sao Joaquim do Monte,20124.15969594,49.0852793314041,50.9147206685958,56.4197470677033,43.580252932297,83.5078594645637
Sao Jose da Coroa Grande,13970.99999991,49.6313792857681,50.3686207142318,68.112518792007,31.8874812079929,65.4829863676825
Sao Jose do Belmonte,31651.9999995699,49.526096297716,50.4739037022846,45.3835199078579,54.6164800921425,78.8793989802831
Sao Jose do Egito,29467.9999997701,48.6324148227969,51.3675851772026,60.0481878650335,39.9518121349661,77.7639006926797
Sao Lourenco da Mata,90401.9999991402,49.0099776553964,50.9900223446034,92.4127784785015,7.58722152149867,60.096720576676
Sao Vicente Ferrer,16003.99999988,49.5126218442853,50.4873781557147,55.6485878529541,44.3514121470459,78.4761141288689
Serra Talhada,70912.0000007599,47.5956114620351,52.4043885379651,69.9528993682997,30.0471006317009,78.3802474152253
Serrita,17847.9999998601,49.9159569695195,50.08404303048,24.7590766465411,75.240923353459,87.9220182106852
Sertania,31657.0000000699,48.7727832706697,51.2272167293307,53.8490697172895,46.1509302827107,84.9499707795135
Sirinhaem,33046.0000000599,50.5144344248009,49.4855655751993,41.2939538821499,58.7060461178503,79.7314334318293
Solidao,5531.99999978001,49.7650036158618,50.234996384138,23.5538684035036,76.4461315964963,88.440831836489
Surubim,50331.0000005098,48.0518964453418,51.9481035546584,65.8540462150251,34.1459537849755,81.1195660403253
Tabira,24064.9999993199,49.0920423848906,50.9079576151101,66.2538957007295,33.7461042992707,73.4108252171589
Tacaimbo,13207.3369270999,48.2156246543815,51.7843753456194,44.8765715023024,55.1234284976981,83.8124929266917
Tacaratu,17095.99999976,50.1169864295176,49.883013570483,42.3607861495771,57.6392138504234,82.5002123809546
Tamandare,17281.00000017,51.1486603782365,48.8513396217636,63.8557069803915,36.1442930196087,60.4826575520929
Taquaritinga do Norte,19756.9999998799,49.37996659452,50.6200334054805,60.8493192292002,39.1506807708003,84.4091463159457
Terezinha,6463.35617946998,47.6219135277859,52.3780864722145,27.0706803472724,72.9293196527278,86.5094269078097
Terra Nova,7517.99999995001,50.1596169205252,49.8403830794749,52.7932960894706,47.2067039105295,79.4417672531221
Timbauba,56905.9999989601,48.551998031745,51.4480019682546,77.3819983828849,22.6180016171146,83.0171860500181
Toritama,21800.0000002,49.0229357801009,50.9770642198995,92.1031965169075,7.8968034830927,70.7535511059565
Tracunhaem,12393.99999989,49.9354526381709,50.0645473618288,76.182023560463,23.8179764395368,66.8723519222488
Trindade,21929.9999998399,49.1837665296797,50.8162334703209,78.4085727317165,21.5914272682835,65.0113418903515
Triunfo,15361.7784643301,46.9831178035072,53.0168821964923,44.3306989597119,55.6693010402876,84.0249657963216
Tupanatinga,20801.00000013,49.2187875584637,50.7812124415364,30.8639007736159,69.1360992263842,81.026783072471
Tuparetama,7765.99999988999,48.8153489567822,51.184651043218,74.7617821241596,25.2382178758404,63.0102602751652
Venturosa,13461.99999978,48.974892289539,51.0251077104609,59.7979497840705,40.2020502159296,77.5833714893083
Verdejante,8846.00000003993,49.0843319021074,50.9156680978938,26.0004521800771,73.9995478199239,82.7845200147744
Vertente do Lerio,8536.00000010997,49.0745079670342,50.9254920329662,17.6663542632447,82.3336457367554,84.0194135815087
Vertentes,14956.99999998,49.0405830048124,50.9594169951873,42.1408036370156,57.859196362984,83.4366927558109
Vicencia,28820.0000005998,50.2290076336877,49.7709923663135,36.4399722420591,63.5600277579417,86.2654868003209
Vitoria de Santo Antao,117608.999999279,48.4469725957703,51.5530274042309,84.4680254060814,15.5319745939188,78.4987045344708
Xexeu,13597.00000022,50.4890784729638,49.5109215270357,57.7848054719632,42.2151945280365,56.6947759286991
