municipio,"valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__total","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_total_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_com_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_militares_e_funcionarios_publicos_estatutarios","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregados_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_empregadores_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)","valor_do_rendimento_nominal_mediano_mensal_do_trabalho_principal_das_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_com_rendimento_no_trabalho_principal_(r$)__posicao_na_ocupacao_no_trabalho_principal_conta_propria_categoria_do_emprego_no_trabalho_principal_outros_sem_carteira_de_trabalho_assinada_(1)",codigo
Correntes,141.0,125.0,151.0,151.0,100.0,1500.0,150.0,2604700.0
Cortes,151.0,151.0,155.0,180.0,120.0,600.0,151.0,2604809.0
Cumaru,150.0,151.0,200.0,172.0,130.0,150.0,150.0,2604908.0
Cupira,151.0,150.0,220.0,151.0,120.0,1000.0,180.0,2605004.0
Custodia,151.0,151.0,250.0,220.0,100.0,2000.0,150.0,2605103.0
Dormentes,120.0,151.0,151.0,151.0,100.0,600.0,100.0,2605152.0
Escada,165.0,160.0,180.0,260.0,151.0,800.0,200.0,2605202.0
Exu,110.0,150.0,280.0,170.0,100.0,500.0,100.0,2605301.0
Feira Nova,130.0,120.0,205.0,180.0,100.0,262.0,150.0,2605400.0
Fernando de Noronha,400.0,360.0,350.0,1300.0,300.0,2500.0,800.0,2605459.0
Ferreiros,151.0,151.0,160.0,200.0,120.0,2000.0,180.0,2605509.0
Flores,80.0,130.0,250.0,151.0,80.0,250.0,50.0,2605608.0
Floresta,180.0,168.0,302.0,350.0,150.0,900.0,200.0,2605707.0
Frei Miguelinho,150.0,150.0,180.0,150.0,120.0,200.0,150.0,2605806.0
Gameleira,151.0,151.0,151.0,198.0,140.0,500.0,150.0,2605905.0
Garanhuns,200.0,200.0,243.0,529.0,150.0,1000.0,200.0,2606002.0
Gloria do Goita,150.0,150.0,200.0,200.0,120.0,251.0,120.0,2606101.0
Goiana,160.0,160.0,224.0,200.0,140.0,600.0,151.0,2606200.0
Granito,100.0,110.0,280.0,160.0,85.0,0.0,80.0,2606309.0
Gravata,180.0,160.0,220.0,237.0,151.0,800.0,200.0,2606408.0
Iati,100.0,114.0,250.0,80.0,80.0,500.0,80.0,2606507.0
Ibimirim,122.0,130.0,250.0,151.0,100.0,1200.0,100.0,2606606.0
Ibirajuba,130.0,130.0,250.0,151.0,100.0,200.0,100.0,2606705.0
Igarassu,220.0,220.0,271.0,250.0,151.0,800.0,200.0,2606804.0
Iguaraci,120.0,130.0,151.0,150.0,105.0,200.0,100.0,2606903.0
Ilha de Itamaraca,151.0,151.0,200.0,300.0,130.0,500.0,180.0,2607604.0
Inaja,120.0,130.0,200.0,158.0,96.0,1100.0,110.0,2607000.0
Ingazeira,134.0,115.0,180.0,1200.0,100.0,1000.0,146.0,2607109.0
Ipojuca,190.0,180.0,186.0,270.0,151.0,1000.0,200.0,2607208.0
Ipubi,130.0,140.0,220.0,225.0,108.0,800.0,100.0,2607307.0
Itacuruba,151.0,151.0,350.0,151.0,120.0,0.0,151.0,2607406.0
Itaiba,120.0,120.0,300.0,250.0,100.0,1000.0,120.0,2607505.0
Itambe,151.0,151.0,165.0,151.0,120.0,2800.0,151.0,2607653.0
Itapetim,151.0,151.0,253.0,219.0,120.0,200.0,151.0,2607703.0
Itapissuma,180.0,200.0,280.0,250.0,151.0,2000.0,150.0,2607752.0
Itaquitinga,151.0,151.0,177.0,176.0,130.0,600.0,150.0,2607802.0
Jaboatao dos Guararapes,251.0,250.0,300.0,600.0,160.0,2000.0,280.0,2607901.0
Jaqueira,151.0,151.0,151.0,151.0,151.0,2000.0,151.0,2607950.0
Jatauba,80.0,100.0,240.0,151.0,80.0,800.0,60.0,2608008.0
Jatoba,200.0,210.0,400.0,230.0,140.0,2000.0,150.0,2608057.0
Joao Alfredo,151.0,151.0,200.0,225.0,150.0,1000.0,150.0,2608107.0
Joaquim Nabuco,151.0,151.0,180.0,151.0,140.0,500.0,151.0,2608206.0
Jucati,100.0,100.0,200.0,151.0,80.0,2000.0,100.0,2608255.0
Jupi,130.0,136.0,223.0,151.0,80.0,600.0,120.0,2608305.0
