municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_ate_14_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_15_a_29_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_30_a_39_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_40_a_44_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_45_a_48_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_49_horas_ou_mais",codigo
Barreiros,9175.0,310.0,1334.0,1136.0,1671.0,2020.0,2704.0,2601409.0
Belem de Maria,2506.0,162.0,446.0,364.0,754.0,325.0,456.0,2601508.0
Belem de Sao Francisco,7236.0,408.0,1277.0,1095.0,2336.0,1012.0,1108.0,2601607.0
Belo Jardim,24250.0,1130.0,3810.0,2829.0,6503.0,3613.0,6366.0,2601706.0
Betania,4355.0,383.0,2051.0,646.0,708.0,339.0,227.0,2601805.0
Bezerros,17302.0,779.0,1986.0,2023.0,3792.0,3069.0,5654.0,2601904.0
Bodoco,9740.0,398.0,2106.0,1471.0,2657.0,1178.0,1930.0,2602001.0
Bom Conselho,15638.0,722.0,2985.0,1413.0,5499.0,2232.0,2787.0,2602100.0
Bom Jardim,11843.0,543.0,2468.0,1652.0,3331.0,1174.0,2674.0,2602209.0
Bonito,11398.0,454.0,1641.0,1389.0,3182.0,1327.0,3405.0,2602308.0
Brejao,3496.0,88.0,799.0,424.0,1596.0,240.0,348.0,2602407.0
Brejinho,2936.0,202.0,765.0,321.0,706.0,561.0,381.0,2602506.0
Brejo da Madre de Deus,14295.0,553.0,1602.0,1745.0,3444.0,3002.0,3950.0,2602605.0
Buenos Aires,3453.0,89.0,487.0,644.0,658.0,376.0,1198.0,2602704.0
Buique,14425.0,422.0,2742.0,2215.0,4156.0,1443.0,3447.0,2602803.0
Cabo de Santo Agostinho,42782.0,1525.0,3796.0,4120.0,10995.0,9067.0,13280.0,2602902.0
Cabrobo,10130.0,509.0,1417.0,1208.0,2825.0,1804.0,2367.0,2603009.0
Cachoeirinha,6441.0,387.0,1119.0,821.0,1149.0,1021.0,1944.0,2603108.0
Caetes,10424.0,410.0,2407.0,2716.0,2633.0,1265.0,993.0,2603207.0
Calcado,6195.0,376.0,1100.0,846.0,1743.0,1207.0,923.0,2603306.0
Calumbi,2826.0,189.0,932.0,480.0,697.0,185.0,344.0,2603405.0
Camaragibe,40704.0,1288.0,3078.0,3914.0,9039.0,9389.0,13996.0,2603454.0
Camocim de Sao Felix,4460.0,121.0,565.0,381.0,1091.0,775.0,1526.0,2603504.0
Camutanga,1911.0,59.0,330.0,344.0,552.0,272.0,353.0,2603603.0
