municipio;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_sem_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_militares_e_funcionarios_publicos;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_outros_sem_carteira_assinada;codigo_unidade_geografica
Goiana;  14 230;  2 295;   510;  1 785;  11 935;  6 515;   830;  4 590;2606200
Granito;   550;   40;-;   40;   510;   87;   102;   321;2606309
Gravatá;  12 801;  2 393;   419;  1 974;  10 407;  3 679;   903;  5 825;2606408
Iati;  1 801;   263;-;   263;  1 539;   405;   141;   992;2606507
Ibimirim;  2 771;   276;   10;   266;  2 496;   558;   407;  1 530;2606606
Ibirajuba;   582;   66;-;   66;   516;   48;   197;   271;2606705
Igarassu;  15 707;  1 681;   461;  1 220;  14 027;  9 356;   673;  3 997;2606804
Iguaraci;  1 469;   84;-;   84;  1 384;   171;   327;   887;2606903
Ilha de Itamaracá;  3 258;   855;   229;   626;  2 403;   906;   237;  1 260;2607604
Inajá;  1 413;   158;   10;   148;  1 255;   276;   345;   633;2607000
Ingazeira;   945;   74;-;   74;   870;   47;   8;   816;2607109
Ipojuca;  11 746;  1 510;   540;   971;  10 236;  7 036;   475;  2 725;2607208
Ipubi;  3 243;   263;-;   263;  2 980;   467;   336;  2 177;2607307
Itacuruba;   634;   54;-;   54;   580;   66;   327;   188;2607406
Itaíba;  2 622;   230;   16;   214;  2 392;   219;   350;  1 823;2607505
Itambé;  6 515;   838;   96;   743;  5 677;  2 989;   386;  2 302;2607653
Itapetim;  2 137;   314;   19;   295;  1 824;   441;   319;  1 064;2607703
Itapissuma;  3 818;   384;   53;   331;  3 434;  1 818;   359;  1 257;2607752
Itaquitinga;  2 864;   476;   150;   326;  2 388;  1 466;   175;   746;2607802
Jaboatão dos Guararapes;  137 511;  14 519;  4 741;  9 779;  122 992;  79 516;  8 139;  35 337;2607901
Jaqueira;  1 906;   60;   21;   39;  1 846;  1 187;   318;   340;2607950
Jataúba;  2 394;   94;-;   94;  2 300;   251;   198;  1 851;2608008
Jatobá;  2 099;   262;   21;   241;  1 837;   904;   346;   587;2608057
João Alfredo;  3 055;   349;   21;   328;  2 705;   987;   106;  1 612;2608107
Joaquim Nabuco;  2 680;   179;   49;   129;  2 501;  1 459;   221;   821;2608206
Jucati;   819;   78;   11;   67;   740;   73;   92;   576;2608255
Jupi;  1 457;   133;-;   133;  1 325;   142;   420;   763;2608305
Jurema;  1 342;   147;   6;   141;  1 195;   83;   409;   703;2608404
Lagoa do Carro;  2 783;   286;   61;   225;  2 497;   976;   179;  1 342;2608453
Lagoa do Itaenga;  3 995;   383;   136;   246;  3 613;  1 618;   264;  1 731;2608503
Lagoa do Ouro;  1 132;   104;-;   104;  1 029;   64;   341;   624;2608602
Lagoa dos Gatos;  2 034;   268;   21;   247;  1 766;   274;   224;  1 268;2608701
Lagoa Grande;  3 538;   164;-;   164;  3 374;  1 266;   330;  1 778;2608750
Lajedo;  5 512;   769;   19;   751;  4 742;   757;   570;  3 416;2608800
Limoeiro;  10 798;   986;   257;   730;  9 811;  4 637;   678;  4 496;2608909
Macaparana;  4 099;   530;   107;   424;  3 569;  1 656;   231;  1 682;2609006
Machados;  1 982;   151;   15;   136;  1 831;   442;   107;  1 282;2609105
Manari;   326;   23;-;   23;   303;   58;   144;   101;2609154
Maraial;  2 745;   130;   17;   112;  2 615;  1 042;   244;  1 330;2609204
Mirandiba;  2 006;   243;   4;   239;  1 763;   193;   467;  1 103;2609303
Moreilândia;  1 136;   67;   8;   58;  1 069;   410;   105;   554;2614303
Moreno;  9 617;   975;   322;   653;  8 642;  5 347;   380;  2 915;2609402
Nazaré da Mata;  6 249;   757;   229;   528;  5 492;  3 569;   476;  1 447;2609501
Olinda;  91 327;  10 564;  3 938;  6 626;  80 763;  50 714;  7 155;  22 895;2609600
Orobó;  2 767;   294;   49;   245;  2 473;   664;   363;  1 446;2609709
Orocó;  1 824;   79;-;   79;  1 745;   192;   234;  1 319;2609808
Ouricuri;  6 750;   821;   65;   756;  5 929;  1 342;  1 010;  3 578;2609907
Palmares;  9 945;   963;   167;   796;  8 982;  4 586;   691;  3 705;2610004
Palmeirina;  1 348;   192;   34;   159;  1 156;   143;   397;   616;2610103
Panelas;  2 966;   268;   7;   261;  2 698;   444;   642;  1 612;2610202
Paranatama;  1 457;   101;-;   101;  1 357;   91;   196;  1 069;2610301
Parnamirim;  2 666;   260;   5;   255;  2 407;   344;   444;  1 619;2610400
Passira;  4 117;   316;   53;   263;  3 801;  1 551;   438;  1 812;2610509
