municipio,domicilios_particulares_permanentes_urbanos_com_lixo_coletado,domicilios_particulares_permanentes_urbanos_com_lixo_queimado_ou_enterrado,domicilios_particulares_permanentes_urbanos_com_lixo_destinado_de_outra_forma,domicilios_particulares_permanentes_rurais_com_lixo_coletado,domicilios_particulares_permanentes_rurais_com_lixo_queimado_ou_enterrado,domicilios_particulares_permanentes_rurais_com_lixo_destinado_de_outra_forma
São Vicente Ferrer,75,3,3,6,21,1
Serra Talhada,70,9,3,4,25,7
Serrita,86,4,2,9,10,7
Sertânia,81,7,3,4,14,9
Sirinhaém,82,0,1,6,16,5
Solidão,76,5,11,1,12,4
Surubim,81,7,10,0,8,2
Tabira,90,3,2,5,7,3
Tacaimbó,95,7,1,1,3,3
Tacaratu,69,2,12,9,18,0
Tamandaré,70,6,9,2,20,2
Taquaritinga do Norte,77,9,5,3,16,8
Terezinha,95,6,1,0,3,4
Terra Nova,70,8,1,7,27,5
Timbaúba,67,1,3,7,29,3
Toritama,96,9,0,7,2,3
Tracunhaém,73,0,3,7,23,3
Trindade,67,8,1,1,31,1
Triunfo,76,0,6,4,17,6
Tupanatinga,66,3,4,5,29,1
Tuparetama,96,7,0,9,2,4
Venturosa,85,2,4,0,10,8
Verdejante,64,7,1,7,33,6
Vertente do Lério,76,1,16,2,7,7
Vertentes,91,8,6,9,1,3
Vicência,86,4,1,5,12,1
Vitória de Santo Antão,93,1,2,0,4,8
Xexéu,90,1,0,1,9,8
