municipio,media_anos_de_estudo_total,media_anos_de_estudo_pessoas_com_10_anos,media_anos_de_estudo_pessoas_com_11_anos,media_anos_de_estudo_pessoas_com_12_anos,media_anos_de_estudo_pessoas_com_13_anos,media_anos_de_estudo_pessoas_com_14_anos,media_anos_de_estudo_pessoas_com_15_anos,media_anos_de_estudo_pessoas_com_16_anos,media_anos_de_estudo_pessoas_com_17_anos,media_anos_de_estudo_pessoas_com_18_anos,media_anos_de_estudo_pessoas_com_19_anos,media_anos_de_estudo_pessoas_com_20_a_24_anos,media_anos_de_estudo_pessoas_com_25_a_29_anos,media_anos_de_estudo_pessoas_com_60_anos_ou_mais
Itaíba,2,3,1,0,1,6,1,9,2,2,2,9,3,3
Itambé,3,3,1,4,2,1,2,9,3,2,3,5,4,4
Itapetim,3,8,2,0,2,9,3,3,3,6,4,0,3,8
Itapissuma,4,5,2,2,2,6,2,9,4,6,4,8,4,5
Itaquitinga,3,9,1,8,2,3,3,0,3,4,4,2,5,0
Jaboatão dos Guararapes,6,2,2,1,2,8,3,5,4,2,4,9,5,4
Jaqueira,3,1,1,7,2,1,2,8,3,0,3,9,4,3
Jataúba,2,8,1,8,2,1,2,5,3,4,3,5,3,8
Jatobá,4,6,2,0,3,0,3,4,4,0,4,2,5,2
João Alfredo,2,9,1,7,1,9,2,8,3,4,3,7,3,8
Joaquim Nabuco,3,3,1,5,2,2,2,7,3,1,3,5,3,8
Jucati,2,9,1,6,1,8,2,8,3,0,3,4,4,0
Jupi,3,2,1,8,2,3,2,9,3,3,3,7,4,2
Jurema,2,4,1,4,1,9,2,1,2,7,3,5,3,3
Lagoa do Carro,4,0,2,1,2,6,3,0,3,7,4,9,5,2
Lagoa do Itaenga,3,5,1,5,1,9,2,4,3,7,4,0,4,6
Lagoa do Ouro,2,8,1,1,1,7,2,0,2,4,2,7,3,0
Lagoa dos Gatos,2,6,1,4,2,0,2,1,3,0,3,4,3,8
Lagoa Grande,3,5,1,8,2,4,3,1,3,7,4,0,4,3
Lajedo,3,7,2,1,2,2,3,2,3,8,4,6,4,8
Limoeiro,4,7,2,2,2,9,3,9,4,4,4,6,5,7
Macaparana,3,7,1,9,2,7,3,2,3,5,4,4,4,2
Machados,3,2,1,7,2,5,2,7,3,4,3,9,3,8
Manari,1,7,1,0,1,5,1,7,2,0,2,2,2,8
Maraial,2,7,1,3,1,8,2,5,2,6,3,1,3,6
Mirandiba,3,9,1,7,2,4,2,9,3,8,4,4,4,9
Moreilândia,3,7,1,8,2,6,3,1,3,7,4,3,4,5
Moreno,4,7,2,2,2,9,3,1,3,9,4,1,4,4
Nazaré da Mata,4,7,1,9,2,3,3,3,3,2,3,7,5,0
Olinda,6,9,2,3,3,0,3,7,4,3,5,3,5,7
Orobó,3,3,1,9,2,0,3,3,3,6,3,9,4,6
Orocó,3,8,1,7,2,3,2,6,3,0,3,4,4,4
Ouricuri,3,2,1,3,2,0,2,4,2,7,3,2,3,5
Palmares,4,5,1,8,2,2,3,2,3,4,4,0,4,6
Palmeirina,3,2,1,8,2,6,2,8,3,1,2,9,4,0
Panelas,2,6,1,4,1,7,2,4,2,7,3,3,3,6
Paranatama,2,5,1,1,1,4,2,4,2,4,3,0,3,0
Parnamirim,3,7,2,1,2,6,2,8,3,4,4,3,4,2
Passira,3,2,1,6,2,2,2,9,3,2,3,4,4,5
Paudalho,4,1,1,8,2,5,3,0,3,6,4,0,4,5
Paulista,6,9,2,3,3,0,3,8,4,5,5,3,5,9
Pedra,3,2,1,4,1,6,2,5,2,8,2,9,4,1
Pesqueira,4,2,1,8,2,4,2,8,3,5,4,0,4,9
Petrolândia,4,5,1,8,2,8,3,8,4,1,4,1,4,6
Petrolina,5,5,2,1,2,7,3,5,4,1,4,5,5,2
Poção,2,9,1,6,1,8,2,7,2,8,3,0,3,2
Pombos,3,2,1,3,1,6,2,5,2,9,3,2,4,3
Primavera,3,4,1,9,2,4,2,9,3,1,3,3,3,9
Quipapá,2,8,1,3,2,1,2,2,2,6,3,1,3,3
Quixaba,3,2,2,1,2,6,2,9,3,6,4,4,4,2
Recife,7,2,2,3,3,0,3,7,4,5,5,1,5,7
Riacho das Almas,3,2,2,0,2,3,3,0,3,2,3,6,4,1
Ribeirão,3,9,1,6,2,1,2,7,3,3,3,8,4,5
Rio Formoso,3,5,1,1,1,6,2,3,2,6,3,5,3,6
Sairé,2,9,1,7,1,9,2,6,2,9,3,9,3,6
Salgadinho,2,8,1,1,1,8,2,4,2,7,2,1,3,3
Salgueiro,4,8,1,9,2,7,3,1,4,0,4,5,4,8
Saloá,3,1,1,3,2,2,2,9,2,8,3,7,3,8
Sanharó,3,7,1,7,1,9,2,5,2,8,3,9,4,1
Santa Cruz,2,2,1,2,1,5,2,2,2,6,3,0,3,7
Santa Cruz da Baixa Verde,3,9,2,0,2,8,3,1,3,9,4,4,5,1
Santa Cruz do Capibaribe,4,2,1,8,2,3,3,1,3,3,4,5,4,6
Santa Filomena,2,1,1,2,1,5,1,9,2,3,2,9,3,5
Santa Maria da Boa Vista,3,9,1,6,2,5,2,7,3,4,3,9,4,5
Santa Maria do Cambucá,2,6,0,8,1,8,2,5,2,6,3,1,3,3
Santa Terezinha,3,8,1,5,2,2,2,5,3,0,4,5,4,0
São Benedito do Sul,2,6,1,5,2,0,2,7,3,0,3,3,3,6
São Bento do Una,3,4,1,8,2,5,2,6,3,4,3,8,4,2
São Caitano,3,3,1,7,1,9,2,6,3,0,3,7,3,9
São João,2,9,1,4,2,0,2,4,2,7,3,3,3,6
São Joaquim do Monte,2,7,1,6,2,0,2,6,3,0,3,3,3,4
São José da Coroa Grande,4,1,1,7,2,2,2,6,3,6,3,5,3,7
São José do Belmonte,3,5,1,6,2,2,2,8,3,2,4,0,3,8
São José do Egito,4,3,2,2,3,0,3,8,3,9,5,2,4,8
São Lourenço da Mata,4,9,2,1,2,4,3,3,3,6,4,5,4,7
São Vicente Ferrer,3,2,2,0,2,3,2,8,3,2,3,8,3,9
Serra Talhada,4,4,1,9,2,2,2,8,3,6,4,0,4,5
Serrita,3,2,1,7,2,4,2,6,3,1,4,1,4,4
Sertânia,4,0,1,6,2,1,3,0,3,7,4,3,4,5
Sirinhaém,3,5,1,4,2,2,2,9,3,0,3,7,4,0
Solidão,3,3,1,9,2,7,2,8,3,5,3,3,4,6
Surubim,4,1,1,9,2,4,3,2,3,8,4,2,4,3
Tabira,4,2,2,2,2,5,3,2,3,4,4,2,4,7
Tacaimbó,2,9,1,5,1,8,2,3,2,9,3,8,3,4
Tacaratu,3,7,1,8,2,6,3,3,3,2,4,5,4,6
Tamandaré,3,3,1,4,1,6,2,4,3,0,2,8,3,7
Taquaritinga do Norte,3,8,2,2,2,5,2,9,3,7,5,2,4,7
Terezinha,2,7,1,2,1,6,2,4,2,5,3,5,3,3
Terra Nova,4,1,1,9,2,8,3,3,3,7,4,1,4,7
Timbaúba,4,3,1,6,2,2,2,8,3,7,3,8,4,3
Toritama,3,6,1,8,2,5,2,6,3,8,4,0,4,1
Tracunhaém,3,5,1,7,2,4,2,9,3,1,4,1,4,5
Trindade,3,7,1,5,2,5,2,7,3,1,4,4,4,4
Triunfo,4,8,2,5,3,1,3,7,4,5,5,5,5,2
Tupanatinga,2,2,0,9,1,1,1,8,2,1,2,2,2,6
Tuparetama,4,3,2,1,3,1,3,8,4,1,5,0,5,4
Venturosa,3,6,1,8,2,4,2,9,3,7,3,6,4,2
Verdejante,3,8,2,1,2,5,2,9,3,3,4,3,4,7
Vertente do Lério,2,6,1,3,2,1,2,6,3,2,3,5,4,8
Vertentes,3,4,1,3,2,1,2,6,3,1,3,8,3,7
Vicência,3,7,1,8,2,2,3,2,3,6,3,8,4,0
Vitória de Santo Antão,4,5,1,8,2,5,3,4,3,9,4,4,4,7
Xexéu,2,8,1,5,1,8,2,3,2,8,3,0,2,9
