municipio,pessoas_de_60_anos_ou_mais_aposentados_total,pessoas_de_60_anos_ou_mais_aposentados_homens,pessoas_de_60_anos_ou_mais_aposentados_mulheres,pessoas_de_60_anos_ou_mais_pensionistas_total,pessoas_de_60_anos_ou_mais_pensionistas_homens,pessoas_de_60_anos_ou_mais_pensionistas_mulheres
Serrita,92,2,93,5,90,9
Sertânia,89,7,90,5,88,9
Sirinhaém,69,3,78,8,58,3
Solidão,97,6,100,0,95,2
Surubim,71,2,69,9,72,3
Tabira,80,9,83,4,78,6
Tacaimbó,81,9,83,1,81,0
Tacaratu,91,2,89,0,92,9
Tamandaré,72,2,77,3,67,3
Taquaritinga do Norte,62,8,60,8,64,7
Terezinha,88,2,84,6,90,9
Terra Nova,93,7,91,3,95,8
Timbaúba,70,7,81,7,62,4
Toritama,27,3,25,9,28,4
Tracunhaém,67,5,79,2,55,6
Trindade,66,7,64,3,68,7
Triunfo,89,1,90,1,88,4
Tupanatinga,82,2,79,7,84,5
Tuparetama,90,3,93,8,87,6
Venturosa,88,5,88,2,88,7
Verdejante,90,3,90,4,90,2
Vertente do Lério,88,0,88,3,87,8
Vertentes,83,0,80,7,84,9
Vicência,74,5,82,2,67,2
Vitória de Santo Antão,67,1,73,5,61,8
Xexéu,68,2,77,6,57,7
