municipio	alunos_total	alunos_creche	aluno_pre_escolar	alunos_alfabetizacao_de_adultos	alunos_fundamental	alunos_medio	alunos_pre_vestibular	alunos_graduacao	alunos_mestrado_ou_doutorado	codigo_unidade_geografica
Itaquitinga	  4 997	173	832	44	  3 341	538	3	65	-	2607802
Jaboatão dos Guararapes	  192 132	  3 162	  33 752	  1 000	  115 852	  28 260	  1 647	  8 102	358	2607901
Jaqueira	  4 416	10	415	70	  3 557	328	-	35	-	2607950
Jataúba	  5 165	35	717	345	  3 862	197	-	9	-	2608008
Jatobá	  4 922	37	550	192	  3 274	698	29	143	-	2608057
João Alfredo	  8 686	78	  1 055	208	  6 762	532	-	51	-	2608107
Joaquim Nabuco	  5 228	68	558	91	  4 126	375	-	10	-	2608206
Jucati	  3 181	23	300	25	  2 554	264	-	15	-	2608255
Jupi	  4 033	101	496	25	  2 920	384	4	102	-	2608305
Jurema	  4 428	71	354	96	  3 611	257	12	27	-	2608404
Lagoa do Carro	  4 332	19	590	54	  3 051	555	21	42	-	2608453
Lagoa do Itaenga	  6 903	112	765	98	  5 280	617	-	31	-	2608503
Lagoa do Ouro	  3 693	40	351	81	  2 846	356	-	19	-	2608602
Lagoa dos Gatos	  5 108	4	739	214	  3 818	253	5	74	-	2608701
Lagoa Grande	  6 204	50	673	180	  4 738	507	-	55	-	2608750
Lajedo	  9 686	129	  1 236	44	  6 937	  1 117	13	209	-	2608800
Limoeiro	  16 760	146	  1 795	271	  11 831	  2 311	61	345	-	2608909
Macaparana	  7 032	24	843	120	  5 247	710	-	89	-	2609006
Machados	  3 020	65	222	64	  2 363	264	9	34	-	2609105
Manari	  4 493	-	358	80	  3 929	116	-	10	-	2609154
Maraial	  5 013	15	499	158	  3 996	304	-	42	-	2609204
Mirandiba	  4 654	94	447	60	  3 317	645	25	65	-	2609303
Moreilândia	  4 282	191	372	44	  3 092	473	7	104	-	2614303
Moreno	  16 229	133	  2 525	398	  10 701	  2 198	101	172	-	2609402
Nazaré da Mata	  10 466	326	  1 552	81	  6 557	  1 603	-	347	-	2609501
Olinda	  121 238	  1 973	  17 338	530	  71 319	  20 212	  1 748	  7 692	426	2609600
Orobó	  8 072	30	  1 016	120	  6 005	791	17	93	-	2609709
Orocó	  3 863	23	343	53	  2 961	383	3	93	3	2609808
Ouricuri	  19 039	51	  1 736	338	  14 744	  1 752	27	390	-	2609907
Palmares	  18 437	120	  2 438	370	  12 732	  2 130	38	609	-	2610004
Palmeirina	  3 122	23	378	51	  2 188	372	-	110	-	2610103
Panelas	  9 768	121	979	152	  7 638	665	19	196	-	2610202
Paranatama	  3 351	17	242	36	  2 800	229	4	23	-	2610301
Parnamirim	  5 887	98	438	87	  4 606	561	35	63	-	2610400
Passira	  9 532	117	965	99	  7 221	  1 013	26	90	-	2610509
Paudalho	  14 150	100	  1 813	98	  10 227	  1 749	-	163	-	2610608
Paulista	  89 074	  1 387	  13 807	414	  51 655	  16 730	  1 111	  3 860	111	2610707
Pedra	  6 555	42	  1 108	97	  4 759	499	-	51	-	2610806
Pesqueira	  18 069	125	  2 663	214	  12 476	  2 275	54	253	10	2610905
Petrolândia	  9 336	29	  1 298	171	  6 393	  1 258	9	178	-	2611002
Petrolina	  78 191	  1 521	  10 100	684	  50 616	  12 054	532	  2 659	25	2611101
Poção	  3 550	124	485	90	  2 589	244	-	18	-	2611200
Pombos	  8 028	63	  1 239	397	  5 623	673	5	27	-	2611309
Primavera	  3 762	25	386	80	  2 949	308	-	14	-	2611408
Quipapá	  7 391	95	413	103	  6 297	442	-	40	-	2611507
Quixaba	  2 455	21	217	87	  1 962	151	-	19	-	2611533
Recife	  484 797	  11 152	  72 542	  2 609	  269 278	  77 430	  8 538	  40 521	  2 727	2611606
Riacho das Almas	  4 989	51	520	152	  3 867	381	-	17	-	2611705
Ribeirão	  13 181	138	  1 658	181	  9 499	  1 462	-	243	-	2611804
Rio Formoso	  7 377	198	859	106	  5 136	922	-	155	-	2611903
Sairé	  3 603	28	435	13	  2 853	243	-	29	-	2612000
Salgadinho	  2 437	6	308	37	  1 880	199	-	7	-	2612109
Salgueiro	  16 939	62	  1 789	178	  12 023	  2 389	69	411	18	2612208
Saloá	  4 691	-	727	50	  3 556	330	-	26	-	2612307
Sanharó	  4 962	193	764	56	  3 547	330	19	52	-	2612406
Santa Cruz	  3 620	34	370	110	  2 937	149	-	20	-	2612455
Santa Cruz da Baixa Verde	  3 581	8	341	45	  2 661	494	3	28	-	2612471
Santa Cruz do Capibaribe	  16 348	413	  3 268	144	  10 572	  1 681	101	159	11	2612505
Santa Filomena	  3 831	11	228	141	  3 219	209	4	19	-	2612554
Santa Maria da Boa Vista	  14 295	135	  1 295	255	  10 699	  1 669	16	225	-	2612604
Santa Maria do Cambucá	  3 575	19	440	114	  2 795	202	-	6	-	2612703
Santa Terezinha	  3 325	75	263	25	  2 516	348	10	88	-	2612802
São Benedito do Sul	  3 400	2	228	157	  2 826	154	5	28	-	2612901
São Bento do Una	  12 666	52	820	130	  10 335	  1 110	27	184	9	2613008
São Caitano	  10 363	86	  1 375	92	  7 813	802	-	185	10	2613107
São João	  6 528	-	613	55	  5 402	363	-	96	-	2613206
São Joaquim do Monte	  5 622	89	409	64	  4 648	316	12	83	-	2613305
São José da Coroa Grande	  4 886	49	660	133	  3 359	535	13	137	-	2613404
São José do Belmonte	  10 576	229	  1 056	164	  7 960	986	28	153	-	2613503
São José do Egito	  8 979	275	  1 035	184	  6 320	998	30	136	-	2613602
São Lourenço da Mata	  31 120	383	  4 919	186	  20 640	  4 227	245	510	9	2613701
São Vicente Ferrer	  5 204	43	570	113	  4 081	354	23	19	-	2613800
Serra Talhada	  22 742	125	  2 514	418	  16 129	  3 079	39	428	9	2613909
Serrita	  6 374	12	449	200	  5 150	486	28	49	-	2614006
Sertânia	  10 166	13	  1 675	204	  6 908	  1 094	40	232	-	2614105
Sirinhaém	  11 468	19	  2 004	364	  8 198	809	16	49	7	2614204
Solidão	  1 917	5	108	46	  1 606	136	-	15	-	2614402
Surubim	  15 434	112	  2 447	218	  10 208	  1 877	46	502	23	2614501
Tabira	  7 483	45	853	209	  5 547	711	-	119	-	2614600
Tacaimbó	  4 331	26	386	97	  3 582	216	-	24	-	2614709
Tacaratu	  5 894	85	609	388	  4 194	547	-	70	-	2614808
Tamandaré	  6 037	106	  1 088	220	  4 169	410	11	27	6	2614857
Taquaritinga do Norte	  5 525	61	884	36	  4 044	383	-	110	7	2615003
Terezinha	  2 114	3	182	58	  1 698	157	-	15	-	2615102
Terra Nova	  2 331	29	355	15	  1 590	290	11	41	-	2615201
Timbaúba	  17 787	132	  3 688	202	  11 431	  1 913	34	388	-	2615300
Toritama	  5 452	11	774	29	  4 169	405	7	56	-	2615409
Tracunhaém	  4 195	71	381	41	  3 208	438	8	48	-	2615508
Trindade	  6 949	14	911	107	  5 062	684	-	171	-	2615607
Triunfo	  5 512	153	574	204	  3 640	798	17	126	-	2615706
Tupanatinga	  7 210	15	827	256	  5 713	345	-	54	-	2615805
Tuparetama	  2 437	85	337	13	  1 601	351	3	48	-	2615904
Venturosa	  4 685	179	525	113	  3 372	470	-	26	-	2616001
Verdejante	  3 005	115	252	22	  2 238	333	-	44	-	2616100
Vertente do Lério	  3 018	-	521	78	  2 221	172	-	25	-	2616183
Vertentes	  3 879	18	663	62	  2 804	274	-	58	-	2616209
Vicência	  11 210	100	  1 130	377	  8 145	  1 226	7	225	-	2616308
Vitória de Santo Antão	  35 921	381	  6 682	337	  22 898	  4 496	268	817	42	2616407
Xexéu	  4 570	16	562	65	  3 591	307	-	30	-	2616506
