municipio;moradores_por_domicilio_particular_permanente_total;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_ate_1/4_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/4_a_1/2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/2_a_1_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1_a_2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_2_a_3_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_mais_de_3_salarios_minimos
Itapissuma;4,1;4,9;4,7;3,7;3,4;2,9;3,2
Itaquitinga;4,3;5,1;4,8;3,3;2,9;3,1;3,4
Jaboatão dos Guararapes;3,8;4,4;4,3;3,8;3,5;3,2;3,0
Jaqueira;4,5;5,5;4,6;3,2;3,3;3,1;2,4
Jataúba;3,8;5,0;4,0;2,6;2,8;2,6;2,9
Jatobá;4,2;5,0;4,4;3,7;3,5;3,4;2,8
João Alfredo;3,9;4,8;4,1;3,0;3,2;3,0;2,9
Joaquim Nabuco;4,3;5,2;4,4;3,3;3,1;3,3;2,7
Jucati;4,0;5,1;4,0;2,5;2,5;3,9;3,8
Jupi;3,9;5,2;4,0;2,6;3,2;3,0;2,9
Jurema;3,8;5,0;3,8;2,6;3,0;1,9;2,7
Lagoa do Carro;4,0;4,9;4,4;3,5;3,1;3,7;3,7
Lagoa do Itaenga;4,5;5,4;4,7;3,6;3,6;3,3;2,6
Lagoa do Ouro;4,1;5,0;3,8;2,7;3,2;4,2;3,2
Lagoa dos Gatos;3,7;4,8;3,6;2,4;2,9;3,7;3,0
Lagoa Grande;4,3;5,1;4,7;3,8;3,0;4,0;3,1
Lajedo;3,8;4,7;4,2;3,1;3,1;3,2;3,2
Limoeiro;3,8;4,5;4,2;3,4;3,5;3,2;3,0
Macaparana;4,2;5,2;4,1;3,2;3,5;3,7;2,6
Machados;4,0;5,3;4,1;3,2;2,9;3,5;3,9
Manari;4,5;5,3;3,8;2,3;2,7;1,9;2,0
Maraial;4,7;5,9;4,4;3,4;2,9;2,9;3,2
Mirandiba;4,6;5,6;4,3;3,4;3,3;3,1;2,9
Moreilândia;4,2;5,4;4,0;2,7;3,3;3,0;3,8
Moreno;4,0;4,9;4,3;3,4;3,4;3,0;3,3
