municipio,pessoas_por_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_por_anos_de_estudo_1_a_3_anos,pessoas_por_anos_de_estudo_4_anos,pessoas_por_anos_de_estudo_5_a_7_anos,pessoas_por_anos_de_estudo_8_anos,pessoas_por_anos_de_estudo_9_e_10_anos,pessoas_por_anos_de_estudo_11_anos,pessoas_por_anos_de_estudo_12_anos,pessoas_por_anos_de_estudo_13_anos,pessoas_por_anos_de_estudo_14_anos,pessoas_por_anos_de_estudo_15_anos_ou_mais,pessoas_por_anos_de_estudo_nao_determinados,codigo_unidade_geografica
Bom Jardim,  7 508,  9 421,  3 695,  3 900,  1 148,  1 346,  1 868,34,20,20,205,471,2602209
Bonito,  8 193,  9 718,  3 389,  3 666,923,922,  1 568,93,51,64,234,453,2602308
Brejão,  1 808,  2 275,821,  1 081,212,179,217,20,8,6,36,97,2602407
Brejinho,  1 456,  2 025,782,674,276,141,194,6,13,4,51,150,2602506
Brejo da Madre de Deus,  8 288,  9 655,  3 826,  4 062,838,671,  1 226,9,19,-,140,276,2602605
Buenos Aires,  2 095,  2 904,  1 315,  1 728,461,300,475,6,14,28,76,237,2602704
Buíque,  11 140,  12 125,  3 641,  3 434,653,744,819,70,28,33,282,750,2602803
Cabo de Santo Agostinho,  15 934,  27 020,  16 724,  25 397,  9 551,  8 091,  15 723,472,258,402,  1 448,950,2602902
Cabrobó,  3 959,  6 447,  3 419,  2 946,923,822,  1 324,33,57,96,229,187,2603009
Cachoeirinha,  3 701,  3 994,  1 717,  2 161,434,473,816,57,34,32,151,115,2603108
Caetés,  6 097,  6 253,  2 329,  1 907,348,282,446,58,29,8,90,430,2603207
Calçado,  1 888,  3 020,  1 497,  1 481,311,282,444,14,-,8,14,86,2603306
Calumbi,  1 410,  1 849,940,698,156,144,185,24,-,8,29,109,2603405
Camaragibe,  11 224,  20 588,  14 547,  23 403,  8 523,  7 881,  13 706,474,309,395,  2 224,  1 268,2603454
Camocim de São Félix,  3 258,  3 653,  1 663,  1 815,428,319,450,30,30,26,114,150,2603504
Camutanga,  1 450,  1 857,783,905,197,297,499,12,3,14,76,98,2603603
Canhotinho,  5 689,  6 632,  2 508,  2 454,524,504,756,66,56,10,163,146,2603702
Capoeiras,  4 293,  4 486,  2 050,  2 156,513,494,615,60,27,17,35,289,2603801
Carnaíba,  3 238,  3 769,  2 214,  2 357,606,490,798,24,17,55,111,197,2603900
Carnaubeira da Penha,  2 515,  2 415,  1 185,720,187,150,330,-,5,9,-,55,2603926
Carpina,  9 012,  11 371,  6 906,  9 620,  3 231,  3 239,  5 651,183,259,187,  1 658,393,2604007
Caruaru,  31 713,  44 907,  29 665,  38 916,  13 820,  10 603,  23 268,804,905,  1 037,  7 127,  1 349,2604106
Casinhas,  2 476,  3 718,  1 647,  1 237,336,201,305,14,17,10,16,306,2604155
Catende,  5 802,  6 429,  2 755,  4 009,  1 282,  1 045,  2 060,76,110,100,378,322,2604205
Cedro,  1 256,  2 577,  1 008,  1 083,331,320,289,12,16,42,87,214,2604304
Chã de Alegria,  1 638,  2 796,  1 233,  1 546,315,328,437,14,9,10,44,188,2604403
Chã Grande,  3 638,  5 138,  2 150,  2 012,529,469,488,23,27,15,113,258,2604502
Condado,  3 561,  4 704,  2 497,  2 766,728,703,  1 483,29,62,66,238,178,2604601
Correntes,  3 579,  3 929,  2 021,  1 980,504,298,525,19,41,28,102,196,2604700
Cortês,  2 673,  3 230,  1 234,  1 316,278,343,407,21,17,44,76,52,2604809
Cumaru,  7 095,  5 271,  3 565,  3 613,629,672,722,31,19,27,153,387,2604908
Cupira,  5 155,  4 928,  2 574,  2 417,853,448,801,41,10,19,81,337,2605004
Custódia,  5 660,  7 591,  3 845,  3 214,  1 113,676,  1 258,103,86,55,290,495,2605103
Dormentes,  4 019,  2 472,  1 758,  1 399,383,419,466,24,7,10,30,128,2605152
Escada,  8 919,  13 235,  6 192,  7 295,  2 030,  2 236,  4 183,47,98,114,356,285,2605202
Exu,  6 923,  7 223,  3 076,  3 465,999,981,  1 353,69,49,42,182,329,2605301
Feira Nova,  4 111,  4 315,  2 341,  2 351,477,425,453,46,12,23,118,241,2605400
Fernando de Noronha,48,250,155,352,160,126,358,-,2,20,94,91,2605459
Ferreiros,  1 658,  2 697,  1 201,  1 606,281,342,574,8,9,27,56,110,2605509
Flores,  4 953,  4 737,  2 503,  2 149,572,612,786,11,19,22,109,209,2605608
Floresta,  3 148,  4 897,  2 842,  3 022,907,935,  1 989,87,106,96,584,216,2605707
Frei Miguelinho,  3 110,  3 361,  1 695,  1 302,306,305,277,5,9,-,67,242,2605806
Gameleira,  5 140,  5 435,  2 106,  2 731,659,780,927,35,42,15,105,364,2605905
Garanhuns,  15 133,  21 474,  12 372,  17 571,  6 987,  5 725,  8 433,648,618,475,  3 468,714,2606002
Glória do Goitá,  4 956,  6 709,  2 869,  3 858,754,597,  1 197,-,30,18,165,285,2606101
Goiana,  8 498,  15 618,  7 578,  10 742,  3 019,  3 002,  5 622,306,251,183,  1 341,557,2606200
Granito,  1 494,  1 366,604,682,166,173,171,14,-,5,25,14,2606309
Gravatá,  10 960,  14 377,  8 273,  9 353,  2 831,  2 177,  4 134,87,115,111,987,671,2606408
Iati,  4 425,  5 125,  1 258,  1 468,243,297,233,8,17,8,20,195,2606507
Ibimirim,  5 060,  6 141,  2 154,  2 162,605,456,763,15,21,22,128,709,2606606
Ibirajuba,  1 413,  2 155,820,702,219,152,228,-,11,5,33,150,2606705
Igarassu,  8 542,  13 862,  9 976,  15 244,  4 495,  4 106,  7 145,190,243,333,927,416,2606804
Iguaraci,  2 002,  3 026,  1 606,  1 401,380,263,478,34,26,7,86,39,2606903
Ilha de Itamaracá,  1 650,  2 589,  2 036,  2 754,  1 047,  1 012,  1 292,22,15,58,280,96,2607604
Inajá,  2 836,  3 033,  1 212,  1 292,258,232,529,5,19,10,112,274,2607000
Ingazeira,761,981,481,614,210,111,304,-,-,2,26,98,2607109
Ipojuca,  9 369,  13 135,  6 285,  7 939,  2 357,  2 022,  3 248,53,98,34,388,523,2607208
Ipubi,  5 054,  5 529,  2 177,  2 271,582,476,785,44,29,69,89,253,2607307
Itacuruba,426,822,409,549,110,129,261,17,9,22,56,40,2607406
Itaíba,  6 990,  7 240,  2 043,  2 091,427,267,450,-,-,-,118,460,2607505
Itambé,  7 477,  8 347,  3 201,  4 080,872,950,  1 385,83,39,33,253,368,2607653
Itapetim,  2 474,  3 642,  2 417,  1 690,386,355,891,18,36,-,159,151,2607703
Itapissuma,  2 742,  3 555,  2 316,  3 611,868,748,  1 319,79,88,36,138,96,2607752
Itaquitinga,  2 113,  3 628,  1 692,  2 176,477,356,743,17,31,23,116,287,2607802
Jaboatão dos Guararapes,  43 527,  80 787,  63 012,  100 681,  41 460,  33 797,  75 755,  3 341,  3 389,  3 675,  17 689,  3 310,2607901
Jaqueira,  2 556,  2 601,  1 084,  1 368,229,288,372,36,-,3,33,174,2607950
Jataúba,  2 840,  4 269,  1 625,  1 195,177,190,386,9,34,-,30,347,2608008
Jatobá,  1 753,  2 665,  1 307,  2 013,634,631,993,71,32,35,138,163,2608057
João Alfredo,  6 781,  7 049,  2 521,  2 576,636,553,987,16,20,27,120,466,2608107
Joaquim Nabuco,  2 922,  4 131,  1 433,  1 727,460,374,677,23,4,5,83,247,2608206
Jucati,  1 978,  2 618,  1 110,  1 103,245,211,167,8,10,-,23,17,2608255
Jupi,  2 566,  2 948,  1 262,  1 354,384,297,337,41,29,38,83,145,2608305
Jurema,  3 458,  3 722,  1 126,  1 216,280,174,211,3,9,5,46,238,2608404
Lagoa do Carro,  1 980,  2 889,  1 784,  1 903,404,535,700,18,16,16,128,62,2608453
Lagoa do Itaenga,  3 341,  4 941,  2 083,  3 214,583,543,570,15,42,27,92,148,2608503
Lagoa do Ouro,  2 483,  3 072,  1 058,874,272,280,333,-,4,11,61,265,2608602
Lagoa dos Gatos,  4 065,  3 883,  1 306,  1 355,351,212,465,52,17,5,31,539,2608701
Lagoa Grande,  3 125,  4 287,  2 189,  2 555,556,464,582,8,26,15,67,381,2608750
Lajedo,  5 168,  8 316,  3 914,  4 128,  1 423,886,  1 137,69,88,81,366,207,2608800
Limoeiro,  7 980,  10 787,  6 682,  8 677,  2 592,  2 450,  4 266,187,263,126,  1 020,632,2608909
Macaparana,  4 529,  5 236,  2 500,  2 248,582,657,  1 217,32,32,28,339,123,2609006
Machados,  2 105,  2 241,  1 153,  1 074,326,204,303,13,15,24,56,166,2609105
Manari,  3 543,  3 670,757,627,121,67,87,-,4,-,-,325,2609154
Maraial,  3 388,  3 492,  1 280,  1 223,250,295,391,22,8,7,41,267,2609204
Mirandiba,  2 284,  2 723,  1 481,  1 670,440,505,609,17,27,31,148,76,2609303
Moreilândia,  2 186,  2 371,  1 090,  1 536,306,394,471,34,21,21,126,115,2614303
Moreno,  6 041,  9 710,  5 691,  8 338,  2 578,  2 261,  4 161,141,66,8,324,433,2609402
Nazaré da Mata,  4 206,  6 045,  3 290,  4 078,  1 474,  1 663,  1 723,123,143,146,769,264,2609501
Olinda,  22 310,  44 666,  37 913,  61 580,  27 500,  25 292,  54 890,  2 929,  3 425,  3 347,  19 168,  1 675,2609600
Orobó,  4 202,  5 939,  2 461,  2 438,581,659,761,51,22,9,102,290,2609709
Orocó,  1 829,  2 414,  1 108,  1 227,354,315,632,33,22,18,55,82,2609808
Ouricuri,  13 210,  12 720,  5 453,  5 124,  1 361,  1 507,  1 901,109,158,82,510,827,2609907
Palmares,  9 403,  10 419,  5 382,  7 146,  2 211,  2 330,  4 270,265,186,294,  1 052,665,2610004
Palmeirina,  2 231,  2 076,  1 001,  1 035,257,281,371,30,10,8,29,108,2610103
Panelas,  6 582,  6 729,  2 224,  2 038,566,452,725,62,-,-,63,383,2610202
Paranatama,  2 872,  2 888,992,834,216,200,233,14,5,5,18,216,2610301
Parnamirim,  3 114,  4 795,  2 427,  2 381,386,443,969,21,15,33,180,123,2610400
Passira,  6 075,  7 557,  3 487,  2 857,938,814,  1 036,38,39,12,113,269,2610509
Paudalho,  6 344,  10 260,  5 376,  6 640,  1 516,  1 813,  2 379,39,75,73,379,175,2610608
Paulista,  13 993,  28 329,  24 998,  46 781,  21 704,  21 169,  44 864,  1 684,  1 913,  1 772,  8 120,  1 420,2610707
Pedra,  4 048,  4 966,  2 037,  2 024,559,417,649,10,17,23,223,717,2610806
Pesqueira,  9 848,  12 864,  6 008,  6 958,  2 494,  2 021,  4 182,109,155,79,840,479,2610905
Petrolândia,  3 558,  5 678,  3 223,  3 719,  1 219,  1 107,  2 132,80,66,10,312,59,2611002
Petrolina,  22 821,  35 527,  23 449,  34 256,  11 129,  12 603,  20 007,989,  1 173,907,  5 950,  1 061,2611101
Poção,  2 647,  2 942,  1 030,959,273,188,433,10,-,4,84,91,2611200
Pombos,  4 876,  6 399,  2 590,  2 545,825,497,679,7,18,12,234,269,2611309
Primavera,  2 001,  3 100,  1 145,  1 342,366,208,526,-,6,11,61,63,2611408
Quipapá,  6 208,  5 325,  2 160,  2 264,428,307,763,16,19,-,105,98,2611507
Quixaba,  1 023,  1 914,866,816,227,99,157,3,-,4,37,99,2611533
Recife,  83 568,  172 202,  145 299,  225 149,  99 732,  90 153,  202 716,  14 553,  16 001,  17 002,  108 904,  8 166,2611606
Riacho das Almas,  3 268,  4 862,  2 338,  1 803,364,322,648,9,-,-,127,683,2611705
Ribeirão,  8 204,  8 880,  3 936,  4 977,  1 540,  1 539,  2 763,129,113,108,320,259,2611804
Rio Formoso,  4 078,  4 689,  1 962,  2 580,621,807,745,105,52,52,100,80,2611903
Sairé,  3 133,  3 533,  1 566,  1 518,372,211,360,16,-,4,22,88,2612000
Salgadinho,  1 578,  2 210,748,595,167,176,211,-,6,8,18,77,2612109
Salgueiro,  7 031,  9 508,  6 012,  7 691,  2 030,  2 524,  3 859,200,142,131,  1 083,416,2612208
Saloá,  3 339,  3 728,  1 762,  1 529,333,335,519,17,-,9,84,112,2612307
Sanharó,  2 647,  4 147,  1 742,  1 959,451,333,653,8,20,27,307,179,2612406
Santa Cruz,  3 531,  2 392,985,929,259,91,147,29,11,10,5,162,2612455
Santa Cruz da Baixa Verde,  1 557,  2 505,  1 543,  1 472,451,436,418,6,17,9,83,199,2612471
Santa Cruz do Capibaribe,  7 343,  13 121,  7 919,  9 565,  2 526,  2 041,  2 987,71,116,79,323,313,2612505
Santa Filomena,  3 677,  2 945,  1 119,888,175,156,97,-,4,-,7,118,2612554
Santa Maria da Boa Vista,  5 576,  8 153,  3 866,  4 766,  1 208,  1 420,  1 678,28,47,101,259,395,2612604
Santa Maria do Cambucá,  2 848,  3 022,  1 184,  1 081,213,183,276,12,13,-,48,177,2612703
Santa Terezinha,  1 858,  2 429,960,  1 261,461,287,529,26,29,16,83,168,2612802
São Benedito do Sul,  2 882,  2 554,808,872,146,107,363,2,7,23,29,181,2612901
São Bento do Una,  8 746,  10 811,  5 033,  5 101,  1 592,943,  1 659,38,45,59,421,327,2613008
São Caitano,  6 807,  8 195,  3 939,  3 740,975,703,889,100,41,26,323,321,2613107
São João,  4 138,  5 505,  2 139,  1 940,376,248,640,20,15,-,135,238,2613206
São Joaquim do Monte,  4 072,  6 235,  1 958,  1 909,331,262,440,25,48,18,42,153,2613305
São José da Coroa Grande,  2 136,  3 155,  1 201,  1 672,586,543,860,39,34,42,160,127,2613404
São José do Belmonte,  5 586,  8 390,  3 634,  3 429,845,708,  1 466,64,52,19,325,187,2613503
São José do Egito,  4 840,  5 842,  3 941,  3 938,  1 232,  1 114,  2 128,76,59,31,299,299,2613602
São Lourenço da Mata,  10 359,  16 634,  11 005,  14 786,  5 144,  4 567,  7 937,143,182,238,826,320,2613701
São Vicente Ferrer,  2 703,  4 495,  1 895,  1 480,453,258,575,11,13,-,102,111,2613800
Serra Talhada,  11 287,  15 222,  8 039,  9 227,  3 193,  2 714,  4 583,155,199,212,  1 353,475,2613909
Serrita,  2 967,  4 973,  1 843,  1 848,485,289,505,15,29,49,94,432,2614006
Sertânia,  6 222,  6 566,  3 596,  3 845,  1 123,966,  1 851,108,118,88,547,414,2614105
Sirinhaém,  6 180,  7 485,  3 381,  4 454,757,844,  1 277,48,33,26,143,485,2614204
Solidão,982,  1 368,602,614,129,143,213,12,-,8,25,124,2614402
Surubim,  8 925,  11 318,  5 256,  6 177,  2 239,  1 810,  3 066,92,140,95,660,693,2614501
Tabira,  2 807,  5 805,  3 391,  3 147,  1 044,709,  1 523,34,47,105,151,381,2614600
Tacaimbó,  2 953,  3 450,  1 263,  1 507,427,237,231,11,-,21,97,209,2614709
Tacaratu,  2 617,  4 126,  1 851,  2 259,604,408,613,24,6,23,149,409,2614808
Tamandaré,  3 123,  4 348,  1 660,  1 719,434,448,660,2,17,22,117,421,2614857
Taquaritinga do Norte,  2 958,  4 348,  2 984,  2 972,534,441,703,34,60,21,208,293,2615003
Terezinha,  1 145,  2 045,622,488,145,89,153,4,-,5,24,203,2615102
Terra Nova,919,  1 981,935,856,249,283,414,19,21,14,98,129,2615201
Timbaúba,  9 014,  12 271,  5 920,  7 800,  1 601,  2 206,  4 263,250,161,85,642,668,2615300
Toritama,  3 745,  5 033,  2 441,  3 309,649,547,821,23,22,22,148,33,2615409
Tracunhaém,  2 300,  2 931,  1 534,  1 773,381,356,443,5,23,23,72,55,2615508
Trindade,  4 093,  4 698,  2 138,  2 740,546,666,966,36,36,60,215,367,2615607
Triunfo,  1 528,  3 295,  2 156,  2 311,561,730,  1 178,49,30,52,298,194,2615706
Tupanatinga,  5 466,  5 699,  1 544,  1 047,261,297,407,8,10,9,50,543,2615805
Tuparetama,  1 335,  1 430,  1 053,  1 025,493,256,548,19,23,18,95,64,2615904
Venturosa,  2 681,  2 677,  1 621,  1 805,518,334,661,4,5,26,117,223,2616001
Verdejante,  1 493,  1 789,  1 216,  1 103,242,295,444,-,8,4,131,75,2616100
Vertente do Lério,  2 069,  2 240,697,860,214,127,137,11,-,4,24,226,2616183
Vertentes,  2 706,  4 049,  1 705,  1 624,440,314,748,34,22,11,137,206,2616209
Vicência,  4 815,  7 337,  2 883,  3 467,951,785,  1 258,117,96,58,238,187,2616308
Vitória de Santo Antão,  17 547,  24 064,  13 464,  16 215,  6 001,  4 815,  8 752,483,359,376,  1 632,787,2616407
Xexéu,  2 900,  3 666,  1 138,  1 405,236,243,409,4,21,4,39,23,2616506
