municipio,pessoas_por_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_por_anos_de_estudo_1_a_3_anos,pessoas_por_anos_de_estudo_4_anos,pessoas_por_anos_de_estudo_5_a_7_anos,pessoas_por_anos_de_estudo_8_anos,pessoas_por_anos_de_estudo_9_e_10_anos,pessoas_por_anos_de_estudo_11_anos,pessoas_por_anos_de_estudo_12_anos,pessoas_por_anos_de_estudo_13_anos,pessoas_por_anos_de_estudo_14_anos,pessoas_por_anos_de_estudo_15_anos_ou_mais,pessoas_por_anos_de_estudo_nao_determinados,codigo_unidade_geografica
Abreu e Lima,  6 477,  12 648,  10 390,  19 120,  6 733,  6 120,  9 382,152,85,154,662,504,2600054
Afogados da Ingazeira,  5 516,  6 055,  3 529,  4 674,  1 573,  1 247,  2 446,110,47,74,641,295,2600104
Afrânio,  3 478,  3 809,  1 902,  1 461,297,236,333,14,-,5,29,284,2600203
Agrestina,  3 899,  5 186,  2 278,  2 272,503,354,769,-,24,8,127,309,2600302
Água Preta,  6 764,  6 517,  2 552,  2 675,776,759,  1 093,48,74,45,138,384,2600401
Águas Belas,  9 840,  9 051,  2 645,  2 795,814,886,  1 006,56,43,34,174,471,2600500
Alagoinha,  2 405,  3 143,  1 414,  1 517,414,263,564,20,14,21,128,152,2600609
Aliança,  6 275,  9 449,  4 141,  5 415,880,645,  1 506,58,40,70,245,554,2600708
Altinho,  5 463,  5 310,  2 086,  2 230,558,534,  1 018,11,53,7,85,369,2600807
Amaraji,  3 972,  5 588,  2 452,  2 078,720,497,860,23,45,16,67,144,2600906
Angelim,  1 839,  2 197,968,  1 078,229,230,314,20,10,9,52,204,2601003
Araçoiaba,  2 785,  3 642,  1 582,  2 092,458,374,505,-,15,28,46,84,2601052
Araripina,  13 952,  16 673,  7 707,  6 545,  2 083,  1 828,  1 979,244,119,148,  1 356,  1 080,2601102
Arcoverde,  8 269,  10 539,  6 532,  8 618,  3 397,  2 755,  5 317,315,223,294,  2 406,371,2601201
Barra de Guabiraba,  2 519,  2 799,930,  1 160,189,168,316,22,5,11,36,117,2601300
Barreiros,  6 475,  8 250,  4 332,  4 750,  1 316,  1 805,  2 813,50,97,43,488,277,2601409
Belém de Maria,  2 339,  2 737,952,  1 155,351,292,327,5,31,18,35,37,2601508
Belém de São Francisco,  3 496,  4 437,  1 980,  2 133,619,749,964,31,77,163,441,203,2601607
Belo Jardim,  12 693,  15 945,  6 666,  8 278,  2 443,  1 855,  3 455,188,223,343,  1 219,586,2601706
Betânia,  2 226,  2 984,  1 369,  1 140,309,146,336,24,18,12,64,286,2601805
Bezerros,  12 054,  12 965,  6 475,  7 967,  1 999,  1 542,  2 475,58,86,53,549,580,2601904
Bodocó,  6 756,  8 086,  3 004,  3 109,607,630,985,63,34,18,262,321,2602001
Bom Conselho,  7 881,  10 982,  4 278,  4 068,  1 187,  1 090,  1 876,49,33,75,470,725,2602100
