municipio;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_ate_14_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_15_a_29_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_30_a_39_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_40_a_44_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_45_a_48_horas_semanais;pessoas_de_10_anos_ou_mais_ocupadas_com_trabalho_de_49_ou_mais_horas_semanais;codigo_unidade_geografica
Itapissuma;   338;   715;  1 077;  1 164;   684;  2 260;2607752
Itaquitinga;   239;   400;   386;   569;   482;  1 782;2607802
Jaboatão dos Guararapes;  6 514;  14 524;  18 951;  48 684;  37 001;  59 589;2607901
Jaqueira;   45;   517;   362;   519;   226;   543;2607950
Jataúba;   405;  1 811;  1 385;  1 145;  1 091;  1 042;2608008
Jatobá;   267;   488;   594;  1 065;   392;   491;2608057
João Alfredo;  1 169;  1 904;  1 322;  2 031;   887;  1 978;2608107
Joaquim Nabuco;   94;   294;   437;  1 195;   455;   940;2608206
Jucati;   121;   918;   635;  1 347;   665;   394;2608255
Jupi;   249;  1 296;   980;  1 308;   881;  1 015;2608305
Jurema;   249;  1 629;   968;  1 783;   335;   631;2608404
Lagoa do Carro;   191;   712;   407;   687;   924;  1 455;2608453
Lagoa do Itaenga;   283;   977;   614;  1 359;   641;  2 024;2608503
Lagoa do Ouro;   186;   986;   921;  1 419;  1 043;   905;2608602
Lagoa dos Gatos;   474;  1 614;   924;  1 950;   303;   734;2608701
Lagoa Grande;   146;   842;   657;  2 027;  1 671;  1 273;2608750
Lajedo;   652;  1 820;  1 487;  2 735;  1 979;  4 362;2608800
Limoeiro;  1 137;  2 260;  2 157;  3 701;  3 784;  5 385;2608909
Macaparana;   481;  1 031;   913;  1 044;  1 049;  1 808;2609006
Machados;   231;   635;   670;  1 170;   254;   541;2609105
Manari;   322;  1 937;  1 457;  1 925;   286;   613;2609154
Maraial;   76;   314;   439;   791;   425;  1 195;2609204
Mirandiba;   199;   853;   781;  1 224;   704;   594;2609303
Moreilândia;   125;  1 069;   754;   961;   409;   392;2614303
Moreno;   340;  1 442;  1 485;  2 750;  2 270;  4 428;2609402
Nazaré da Mata;   261;   765;  1 081;  1 762;  1 545;  2 012;2609501
Olinda;  4 374;  10 315;  15 578;  37 601;  20 028;  35 556;2609600
Orobó;   763;  2 410;  1 307;  2 348;   505;  1 233;2609709
Orocó;   193;   819;   557;  1 315;   315;   867;2609808
Ouricuri;   671;  2 673;  2 054;  4 486;  2 930;  3 709;2609907
Palmares;   785;  1 307;  1 595;  3 387;  2 745;  4 582;2610004
Palmeirina;   180;   834;   687;  1 013;   228;   466;2610103
Panelas;   477;  2 515;  1 971;  3 915;   865;  1 383;2610202
Paranatama;   139;  1 950;   563;  1 325;   511;   138;2610301
Parnamirim;   244;   840;   787;  1 886;  1 192;   848;2610400
Passira;   426;  2 114;  1 658;  2 157;  1 210;  2 857;2610509
Paudalho;   656;  1 192;  1 237;  2 273;  1 695;  5 047;2610608
Paulista;  2 535;  6 274;  10 403;  27 256;  17 224;  22 738;2610707
Pedra;   449;  1 677;   986;  1 233;  1 005;  2 278;2610806
Pesqueira;  1 077;  3 792;  2 565;  5 090;  3 314;  5 913;2610905
Petrolândia;   455;  1 328;  1 238;  1 549;  1 590;  2 871;2611002
Petrolina;  2 135;  6 105;  6 997;  26 443;  14 550;  20 049;2611101
Poção;   367;  1 659;   815;  1 775;   379;  1 350;2611200
Pombos;   455;  1 598;  1 002;  1 883;   719;  3 012;2611309
Primavera;   146;   283;   334;   900;   591;   762;2611408
Quipapá;   194;   806;   559;  2 166;   700;  1 154;2611507
Quixaba;   107;   788;   469;   666;   289;   316;2611533
Recife;  16 604;  44 419;  60 997;  154 558;  85 760;  147 752;2611606
Riacho das Almas;   354;  1 075;  1 145;  1 473;   808;  1 781;2611705
Ribeirão;   402;  1 012;  1 074;  2 974;  1 792;  2 619;2611804
Rio Formoso;   109;   482;   720;  1 519;   575;  1 615;2611903
Sairé;   255;  1 238;   516;  1 704;   509;   929;2612000
Salgadinho;   128;   583;   644;   747;   219;   666;2612109
Salgueiro;   604;  1 649;  1 757;  3 801;  3 147;  4 306;2612208
Saloá;   672;  1 996;   934;  1 533;   527;   626;2612307
Sanharó;   354;  1 680;  1 175;  1 253;  1 007;  1 376;2612406
Santa Cruz;   104;   381;   685;   925;   134;   418;2612455
Santa Cruz da Baixa Verde;   187;  1 023;   558;  1 080;   320;   918;2612471
Santa Cruz do Capibaribe;   714;  3 004;  2 349;  11 698;  7 817;  5 406;2612505
Santa Filomena;   56;   785;   517;  1 222;   450;   415;2612554
Santa Maria da Boa Vista;   621;  2 647;  1 985;  3 963;  2 235;  3 713;2612604
Santa Maria do Cambucá;   319;  1 185;   823;   915;  1 084;   491;2612703
Santa Terezinha;   521;   989;   577;  1 136;   418;   378;2612802
São Benedito do Sul;   25;   350;   495;   941;   352;   166;2612901
São Bento do Una;   637;  2 686;  2 447;  3 942;  2 064;  3 803;2613008
São Caitano;   641;  1 710;  1 327;  3 405;  1 942;  2 920;2613107
São João;   331;  1 782;  1 250;  2 955;  1 275;   693;2613206
São Joaquim do Monte;   594;  1 762;  1 075;  2 392;   837;  1 020;2613305
São José da Coroa Grande;   236;   385;   457;   500;   352;  1 148;2613404
São José do Belmonte;   506;  2 112;  1 774;  2 812;  1 225;  1 384;2613503
São José do Egito;   579;  1 698;  1 311;  3 066;  2 039;  2 380;2613602
São Lourenço da Mata;  1 242;  2 838;  2 815;  4 833;  4 855;  9 451;2613701
São Vicente Ferrer;   377;   889;   583;  1 166;   394;  1 029;2613800
Serra Talhada;  1 061;  3 685;  3 018;  5 794;  4 791;  7 106;2613909
Serrita;   236;  1 227;   639;  2 339;   703;   994;2614006
Sertânia;   235;   918;  1 148;  2 347;  1 134;  2 467;2614105
Sirinhaém;   283;   557;   748;  1 317;  1 785;  3 034;2614204
Solidão;   108;   863;   416;   517;   115;   163;2614402
Surubim;   778;  3 299;  2 375;  4 553;  2 949;  4 758;2614501
Tabira;   235;  1 708;  1 112;  2 346;  2 365;  1 953;2614600
Tacaimbó;   110;   554;   453;  2 098;   320;  1 433;2614709
Tacaratu;   308;  1 315;   779;  2 352;   521;  1 108;2614808
Tamandaré;   431;   510;   435;  1 054;   531;  1 231;2614857
Taquaritinga do Norte;   84;   522;  1 062;  3 034;  1 215;  1 770;2615003
Terezinha;   108;   721;   297;   822;   44;   141;2615102
Terra Nova;   229;   817;   405;   715;   655;   573;2615201
Timbaúba;  1 040;  2 178;  1 539;  3 988;  2 864;  6 042;2615300
Toritama;   486;   737;   636;  2 937;  3 197;  2 304;2615409
Tracunhaém;   123;   295;   435;   636;   433;  1 649;2615508
Trindade;   184;   974;  1 006;  1 132;   763;  2 881;2615607
Triunfo;   380;  1 052;   693;  1 472;   840;  1 138;2615706
Tupanatinga;   385;  1 592;  1 150;  2 077;   904;  1 306;2615805
Tuparetama;   99;   401;   331;   725;   249;   594;2615904
Venturosa;   124;   666;   505;   725;   733;  1 667;2616001
Verdejante;   197;   601;   339;   658;   161;   419;2616100
Vertente do Lério;   161;   990;   406;   804;   295;   296;2616183
Vertentes;   70;   697;   532;  1 782;   531;  1 373;2616209
Vicência;   263;  1 188;   954;  2 117;   928;  1 925;2616308
Vitória de Santo Antão;  1 256;  3 923;  3 543;  7 080;  6 774;  14 889;2616407
Xexéu;   73;   448;   495;   478;   395;  1 131;2616506
