 Mortalidade - Brasil,,,,,,,,,,,,,,,,,,,,,
�bitos p/Ocorr�nc por Munic�pio e Ano do �bito,,,,,,,,,,,,,,,,,,,,,
Categoria CID-10: X93   Agressao disparo de arma de fogo de mao, X94   Agressao disparo arma fogo de maior calibre, X95   Agressao disparo outr arma de fogo ou NE,,,,,,,,,,,,,,,,,,,
Per�odo:1996-2015,,,,,,,,,,,,,,,,,,,,,
Munic�pio,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
250535 Dami�o,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,4
250540 Desterro,-,-,1,-,-,1,2,1,-,-,1,-,-,-,-,2,-,1,2,-,11
250560 Diamante,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,-,1,1,-,8
250570 Dona In�s,-,-,-,1,-,-,-,-,1,-,1,-,-,1,1,-,1,2,1,-,9
250580 Duas Estradas,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3
250590 Emas,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,4
250600 Esperan�a,3,2,1,-,-,-,5,2,10,3,6,6,4,6,5,1,2,3,7,6,72
250610 Fagundes,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2,1,4,-,3,14
250620 Frei Martinho,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2
250625 Gado Bravo,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,1,-,2,2,9
250630 Guarabira,-,6,8,-,2,2,-,9,3,5,3,2,5,4,11,14,17,18,12,9,130
250640 Gurinh�m,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-,3,1,3,1,5,17
250660 Ibiara,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,-,-,-,-,1,6
250260 Igaracy,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,1,-,-,5
250670 Imaculada,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,1,1,1,1,1,8
250680 Ing�,-,-,-,2,1,-,1,-,1,-,2,1,1,-,2,2,4,4,2,3,26
250690 Itabaiana,4,2,-,1,1,1,1,-,-,1,-,8,1,-,3,8,-,2,9,6,48
250700 Itaporanga,-,-,-,-,-,-,-,-,-,2,6,1,1,1,2,-,3,2,2,8,28
250710 Itapororoca,1,1,-,-,-,-,-,-,-,1,1,-,1,1,2,2,1,1,1,2,15
250720 Itatuba,-,1,-,-,-,-,-,-,-,1,-,-,2,-,1,-,-,-,-,3,8
250730 Jacara�,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,1,2,1,8
250740 Jeric�,1,-,-,2,1,1,2,1,-,-,3,1,3,4,1,-,-,-,-,-,20
250750 Jo�o Pessoa,84,136,174,157,187,207,205,233,203,239,262,310,346,431,515,575,499,479,467,464,6173
251365 Joca Claudino,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
250760 Juarez T�vora,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,4,2,-,-,8
250770 Juazeirinho,-,2,1,-,-,-,-,-,-,-,3,1,-,-,-,3,-,1,2,6,19
250780 Junco do Serid�,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,3
250790 Juripiranga,-,3,-,-,-,-,-,-,-,2,4,3,1,-,-,1,1,-,2,2,19
250800 Juru,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,5
250810 Lagoa,1,1,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,6
250820 Lagoa de Dentro,-,2,-,1,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,1,7
250830 Lagoa Seca,2,-,1,-,1,1,-,-,1,-,3,4,2,6,4,7,6,4,11,4,57
250850 Livramento,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,1,2,7
250855 Logradouro,-,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-,1,-,-,-,5
250860 Lucena,-,-,-,-,-,-,2,-,1,-,-,-,5,4,6,3,5,6,6,8,46
250870 M�e d'�gua,-,-,1,2,1,-,1,-,2,-,-,-,-,-,-,1,1,-,1,2,12
250880 Malta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
250890 Mamanguape,1,2,-,-,-,5,3,1,1,1,2,1,6,10,9,13,9,5,10,16,95
250900 Mana�ra,2,-,-,-,-,1,4,-,1,-,1,-,1,1,2,1,2,1,1,1,19
250905 Marca��o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,3,1,10
250910 Mari,-,1,-,-,-,-,2,-,-,3,1,1,5,3,5,17,17,10,5,5,75
250915 Mariz�polis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,4
250920 Massaranduba,-,-,-,-,-,-,-,-,1,1,-,1,1,-,1,1,3,2,2,2,15
250930 Mataraca,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,1,-,1,1,6
250933 Matinhas,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,6
250937 Mato Grosso,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,4
250939 Matur�ia,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,1,-,5
250940 Mogeiro,-,-,-,2,-,-,1,-,-,-,-,-,2,1,2,-,1,-,1,-,10
250950 Montadas,-,1,-,-,-,-,1,-,-,-,1,-,1,1,-,2,-,3,-,-,10
250960 Monte Horebe,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,3
250970 Monteiro,1,3,3,-,-,-,-,-,2,-,6,1,2,-,1,5,3,1,5,7,40
250980 Mulungu,-,2,1,-,-,-,-,-,-,-,2,2,-,1,4,1,1,3,8,-,25
250990 Natuba,-,-,-,1,-,-,1,-,-,1,1,2,1,-,2,3,-,2,1,-,15
251000 Nazarezinho,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
251010 Nova Floresta,-,-,-,-,1,-,-,-,-,-,-,2,-,1,1,6,3,3,4,2,23
251020 Nova Olinda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251030 Nova Palmeira,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,4
251040 Olho d'�gua,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,1,-,1,7
251050 Olivedos,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,3
251060 Ouro Velho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3
251065 Parari,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,1,5
251070 Passagem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,3
251080 Patos,8,12,11,-,11,6,3,6,13,7,13,17,50,51,49,58,63,44,43,55,520
251090 Paulista,-,-,-,2,11,13,10,8,-,-,2,-,-,1,1,-,-,1,4,3,56
251100 Pedra Branca,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3
251110 Pedra Lavrada,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,2,2,-,3,11
251120 Pedras de Fogo,1,2,1,1,-,1,1,-,3,7,3,11,-,10,9,13,4,2,11,2,82
251272 Pedro R�gis,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,1,-,-,1,-,6
251130 Pianc�,-,2,-,-,1,-,-,-,1,-,1,-,-,-,-,4,1,3,3,-,16
251140 Picu�,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,2,1,3,1,3,14
251150 Pilar,1,-,-,1,2,1,1,-,-,5,3,-,2,-,2,3,1,2,3,4,31
251160 Pil�es,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,1,6
251170 Pil�ezinhos,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,-,-,6
251180 Pirpirituba,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2,2,1,1,3,1,12
251190 Pitimbu,1,3,1,-,-,-,-,2,1,2,1,1,6,3,4,7,3,9,6,11,61
251200 Pocinhos,1,1,1,2,-,-,1,-,1,1,-,2,1,-,-,3,3,4,2,3,26
251203 Po�o Dantas,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2,4
251207 Po�o de Jos� de Moura,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
251210 Pombal,4,2,2,1,-,-,-,-,-,2,-,1,3,2,4,5,1,8,3,7,45
251220 Prata,-,1,1,-,1,-,-,-,2,-,-,1,-,-,-,-,1,1,-,-,8
251230 Princesa Isabel,1,-,-,-,-,1,1,-,-,1,2,-,3,7,2,3,-,5,1,1,28
251240 Puxinan�,1,-,-,-,-,-,-,-,-,-,2,1,-,2,-,5,3,2,2,3,21
251250 Queimadas,1,-,2,1,-,-,2,1,1,1,4,4,3,10,5,6,5,3,6,3,58
251260 Quixaba,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
251270 Rem�gio,-,-,-,-,-,-,-,-,1,1,-,-,1,2,1,1,-,2,6,6,21
251274 Riach�o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
251275 Riach�o do Bacamarte,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,1,-,-,-,1,5
251276 Riach�o do Po�o,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,2,2,-,8
251280 Riacho dos Cavalos,-,-,-,-,-,-,1,-,1,1,-,-,1,-,-,2,1,2,-,3,12
251290 Rio Tinto,3,1,-,-,-,-,3,-,1,2,-,3,6,2,3,5,8,4,6,4,51
251310 Salgado de S�o F�lix,-,-,-,-,-,-,-,-,-,2,-,-,3,-,1,-,1,1,1,2,11
251315 Santa Cec�lia,-,-,-,-,-,-,-,-,-,1,2,1,-,-,1,-,1,-,1,2,9
251320 Santa Cruz,-,-,-,-,1,-,-,-,-,-,-,1,2,-,-,1,-,1,-,-,6
251330 Santa Helena,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,4
251335 Santa In�s,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,1,-,-,-,5
251340 Santa Luzia,-,-,-,-,2,-,3,-,-,-,-,-,-,2,-,-,1,1,3,1,13
251370 Santa Rita,21,20,-,4,8,9,20,19,12,36,31,35,35,49,71,100,107,116,88,86,867
251380 Santa Teresinha,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,3
251350 Santana de Mangueira,-,-,-,1,-,-,-,-,-,-,1,-,-,-,3,-,2,-,5,2,14
251360 Santana dos Garrotes,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,3
251385 Santo Andr�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
251392 S�o Bentinho,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,2
251390 S�o Bento,5,2,2,6,6,2,1,2,8,4,8,3,1,14,16,17,10,17,18,11,153
251394 S�o Domingos do Cariri,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2
251398 S�o Francisco,-,-,-,1,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,4
251400 S�o Jo�o do Cariri,1,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,4
250070 S�o Jo�o do Rio do Peixe,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,2,7
251410 S�o Jo�o do Tigre,-,-,-,-,-,-,-,-,1,-,1,1,2,2,1,1,1,2,2,1,15
251420 S�o Jos� da Lagoa Tapada,-,-,-,1,-,-,-,1,-,-,-,-,1,-,1,2,-,1,1,2,10
251430 S�o Jos� de Caiana,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,3
251440 S�o Jos� de Espinharas,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,3
251450 S�o Jos� de Piranhas,-,2,-,-,-,-,1,-,-,-,1,-,-,-,2,1,2,1,1,-,11
251455 S�o Jos� de Princesa,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,4
251460 S�o Jos� do Bonfim,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,3
251470 S�o Jos� do Sabugi,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
251480 S�o Jos� dos Cordeiros,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,1,-,-,-,5
251445 S�o Jos� dos Ramos,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,2,7
251490 S�o Mamede,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,-,-,-,1,5
251500 S�o Miguel de Taipu,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,2,4,1,2,3,15
251510 S�o Sebasti�o de Lagoa de Ro�a,1,-,1,-,-,-,-,-,-,1,2,-,1,2,5,5,2,4,3,5,32
251520 S�o Sebasti�o do Umbuzeiro,-,-,-,1,-,-,-,-,-,2,1,-,1,-,-,1,1,-,-,-,7
251540 S�o Vicente do Serid�,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,-,1,1,-,6
251530 Sap�,3,1,1,4,6,4,3,5,5,3,10,11,12,16,15,23,11,9,27,23,192
251550 Serra Branca,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,13
251580 Serra Redonda,-,-,-,-,-,-,-,-,2,2,1,-,-,1,-,-,-,-,-,-,6
251590 Serraria,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,1,-,1,-,-,6
251593 Sert�ozinho,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
251597 Sobrado,-,-,-,-,1,2,-,-,-,-,-,-,1,3,-,1,4,1,7,-,20
251600 Sol�nea,-,2,-,-,2,-,-,-,-,1,3,-,3,1,-,1,3,9,13,2,40
251610 Soledade,-,1,-,-,3,-,-,-,1,3,-,1,3,4,-,-,2,5,2,7,32
251615 Soss�go,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
251620 Sousa,5,6,4,1,1,-,3,4,7,3,4,1,11,12,10,17,10,9,9,20,137
251630 Sum�,-,2,-,1,-,-,1,3,1,1,-,1,4,1,1,2,3,-,1,4,26
251640 Tacima,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,-,1,-,-,1,6
251650 Tapero�,3,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,2,2,11
251660 Tavares,1,-,-,-,-,-,-,1,1,-,1,-,1,2,1,-,-,-,1,-,9
251670 Teixeira,-,-,-,-,1,-,-,-,1,-,2,-,1,1,4,2,-,3,1,1,17
251675 Ten�rio,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
251680 Triunfo,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,2
251690 Uira�na,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,3,5,2,1,3,17
251700 Umbuzeiro,1,-,-,-,2,-,1,-,1,-,1,2,2,-,3,1,-,2,5,1,22
251710 V�rzea,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3
250550 Vista Serrana,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
251740 Zabel�,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2
250000 Munic�pio ignorado - PB,1,-,1,-,-,-,-,-,-,-,-,1,1,2,1,-,6,3,2,2,20
260005 Abreu e Lima,15,27,49,21,32,57,34,43,26,33,51,36,48,44,41,36,30,12,29,25,689
260010 Afogados da Ingazeira,2,3,5,12,8,6,13,4,7,7,2,6,2,5,7,3,2,2,3,1,100
260020 Afr�nio,-,-,2,2,1,-,1,2,1,1,-,-,2,-,1,1,1,-,-,3,18
260030 Agrestina,1,7,2,10,8,7,7,20,11,12,8,4,14,16,9,12,7,11,13,14,193
260040 �gua Preta,2,10,9,13,21,13,11,5,3,3,2,4,6,4,4,4,5,5,4,7,135
260050 �guas Belas,9,10,7,8,14,12,10,15,3,10,8,15,4,9,6,11,8,6,2,14,181
260060 Alagoinha,2,-,-,2,2,3,1,6,2,4,4,1,1,-,4,3,3,2,1,1,42
260070 Alian�a,4,6,4,2,3,5,11,17,20,24,16,9,9,11,4,10,12,11,10,16,204
260080 Altinho,2,1,3,3,5,2,2,3,1,4,6,8,6,6,2,5,3,-,9,9,80
260090 Amaraji,2,6,8,2,7,11,9,11,11,6,16,15,4,10,10,6,7,1,12,2,156
260100 Angelim,1,1,2,1,3,2,1,2,1,-,-,1,2,2,2,1,1,4,3,5,35
260105 Ara�oiaba,-,4,9,2,2,2,2,-,-,-,-,-,-,1,6,3,4,4,6,8,53
260110 Araripina,4,5,9,15,12,18,28,25,8,13,18,17,14,15,9,13,12,6,10,20,271
260120 Arcoverde,26,22,18,16,28,20,10,17,27,29,27,33,29,18,22,16,21,8,13,18,418
260130 Barra de Guabiraba,5,-,1,-,1,2,1,1,-,-,-,1,-,-,2,-,4,3,4,8,33
260140 Barreiros,6,9,13,16,13,14,7,7,10,11,6,15,8,9,4,3,8,11,31,18,219
260150 Bel�m de Maria,-,1,-,6,1,3,2,6,1,3,3,-,3,5,7,1,3,3,4,3,55
260160 Bel�m do S�o Francisco,13,20,14,11,5,2,20,8,8,4,6,12,9,5,4,1,7,1,6,7,163
260170 Belo Jardim,13,13,10,18,25,21,18,22,11,20,11,19,5,11,12,15,16,18,20,18,316
260180 Bet�nia,-,5,8,3,2,4,4,3,3,-,-,5,3,4,4,6,4,-,2,1,61
260190 Bezerros,12,17,30,33,25,28,27,17,21,26,37,21,29,25,12,10,19,15,20,27,451
260200 Bodoc�,-,6,-,1,1,1,1,1,1,1,3,-,-,5,-,3,8,6,3,1,42
260210 Bom Conselho,4,4,9,5,5,7,1,3,-,3,13,8,10,8,3,6,6,3,6,5,109
260220 Bom Jardim,2,5,7,8,6,3,6,11,8,4,6,6,11,5,5,3,7,1,3,13,120
260230 Bonito,5,5,6,3,1,5,2,8,6,5,8,3,6,1,7,6,11,4,2,5,99
260240 Brej�o,1,2,-,-,1,-,-,-,-,-,1,4,2,-,-,3,1,-,1,2,18
260250 Brejinho,1,1,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,6
260260 Brejo da Madre de Deus,5,11,12,19,24,45,27,11,8,7,9,10,10,22,12,14,19,12,29,37,343
260270 Buenos Aires,2,-,2,3,-,1,1,4,-,-,-,-,1,2,2,1,1,-,1,1,22
260280 Bu�que,7,4,2,6,10,10,7,12,11,11,12,10,14,14,14,12,6,8,5,4,179
260290 Cabo de Santo Agostinho,29,62,73,96,70,144,119,130,103,123,104,137,139,102,112,120,140,125,88,132,2148
260300 Cabrob�,18,17,11,14,6,11,9,11,12,7,10,2,3,6,4,3,3,4,2,8,161
260310 Cachoeirinha,1,7,3,3,1,3,2,11,10,2,12,2,5,6,2,1,2,10,9,3,95
260320 Caet�s,5,1,4,4,1,2,4,3,-,4,4,1,1,3,3,6,4,5,5,4,64
260330 Cal�ado,-,1,-,-,-,1,-,-,1,1,1,-,1,-,-,-,-,2,1,-,9
260340 Calumbi,-,3,1,-,-,1,2,-,-,-,1,-,-,-,1,-,-,-,-,-,9
260345 Camaragibe,33,57,53,51,49,62,50,46,43,34,68,55,51,47,42,29,35,25,28,33,891
260350 Camocim de S�o F�lix,3,2,5,6,7,4,4,4,-,3,3,2,1,2,-,2,-,1,6,9,64
260360 Camutanga,-,-,-,-,-,1,-,-,1,-,-,-,2,-,1,1,-,1,2,2,11
260370 Canhotinho,4,7,4,3,8,6,9,12,3,10,5,2,6,6,6,11,6,3,8,10,129
260380 Capoeiras,5,3,7,3,1,3,3,3,2,1,7,3,4,2,1,3,6,4,8,10,79
260390 Carna�ba,2,4,-,1,5,2,1,1,2,-,4,2,5,1,3,1,2,1,-,1,38
260392 Carnaubeira da Penha,1,-,15,2,2,4,1,3,-,3,2,2,2,1,6,3,2,1,3,1,54
260400 Carpina,14,8,18,13,21,11,17,28,16,12,22,21,7,7,20,13,16,22,24,33,343
260410 Caruaru,117,97,129,99,109,107,134,165,128,159,148,129,146,132,121,127,119,123,115,196,2600
260415 Casinhas,-,1,2,1,1,-,1,3,-,-,-,2,4,5,3,1,1,5,3,1,34
260420 Catende,5,9,1,12,7,3,2,3,4,1,-,5,5,7,5,2,4,9,14,14,112
260430 Cedro,-,1,-,-,-,1,-,-,-,1,-,-,-,1,2,1,-,2,1,1,11
260440 Ch� de Alegria,5,3,1,3,2,6,4,1,1,2,3,3,1,2,2,3,2,1,1,3,49
260450 Ch� Grande,-,1,-,3,1,3,6,4,2,1,-,4,6,1,2,-,1,-,-,2,37
260460 Condado,2,2,1,5,4,6,8,6,1,2,-,3,3,8,5,4,10,2,13,9,94
260470 Correntes,4,6,1,1,-,4,2,5,6,-,2,5,11,4,4,3,4,1,4,4,71
260480 Cort�s,3,11,8,5,6,4,3,4,4,3,-,1,7,3,-,3,2,2,3,2,74
260490 Cumaru,2,1,1,3,-,2,1,1,-,1,4,1,7,3,-,2,1,2,-,2,34
260500 Cupira,2,4,6,6,15,4,14,5,13,13,4,14,9,19,5,15,9,8,8,16,189
260510 Cust�dia,7,3,4,5,6,9,10,1,6,3,3,4,7,3,6,2,7,4,9,1,100
260515 Dormentes,-,-,1,3,-,1,-,5,-,2,1,1,-,1,1,-,-,1,-,-,17
260520 Escada,8,15,22,20,32,37,26,21,13,15,24,32,51,18,17,12,16,20,49,54,502
260530 Exu,4,2,6,7,4,5,4,4,5,3,4,6,5,7,2,10,-,5,5,3,91
260540 Feira Nova,1,4,1,1,-,6,13,13,3,1,-,5,1,5,6,7,2,1,5,6,81
260550 Ferreiros,-,2,-,2,-,4,2,-,2,1,6,2,3,-,1,-,1,2,-,1,29
260560 Flores,4,3,3,1,4,-,-,4,3,6,3,2,2,-,1,1,3,4,-,6,50
260570 Floresta,26,27,28,11,16,10,8,15,6,5,10,10,18,14,15,13,9,9,9,21,280
260580 Frei Miguelinho,-,1,1,-,-,1,1,2,-,1,1,2,4,-,-,3,-,-,-,5,22
260590 Gameleira,4,5,7,4,7,10,12,6,4,4,4,6,4,3,2,4,5,10,7,3,111
260600 Garanhuns,40,32,40,32,58,51,46,49,37,51,39,53,42,26,42,12,22,21,21,40,754
260610 Gl�ria do Goit�,1,4,8,-,9,3,4,1,2,1,3,9,5,3,9,9,10,7,8,7,103
260620 Goiana,10,13,19,11,47,49,48,35,40,39,50,45,39,42,35,20,31,18,23,34,648
260630 Granito,-,-,2,-,-,-,2,-,-,-,1,-,-,3,2,1,3,-,-,-,14
260640 Gravat�,10,20,20,38,22,29,23,14,13,14,3,17,6,17,13,21,9,15,29,34,367
260650 Iati,-,4,2,4,1,2,-,2,3,5,8,4,5,7,2,7,9,3,6,2,76
260660 Ibimirim,6,3,7,13,5,5,10,18,8,10,10,12,15,19,5,7,12,10,5,5,185
260670 Ibirajuba,2,2,-,2,2,2,-,-,3,-,1,2,1,2,4,1,-,-,-,5,29
260680 Igarassu,18,29,45,36,31,47,36,37,38,48,53,41,37,40,50,44,42,32,43,55,802
260690 Iguaracy,-,3,1,1,6,1,-,1,1,2,-,1,-,-,-,-,-,1,1,-,19
260760 Ilha de Itamarac�,4,3,12,11,6,14,6,12,13,6,4,10,22,12,13,9,13,10,12,7,199
260700 Inaj�,5,2,3,2,3,3,4,9,4,3,2,5,5,2,1,3,3,4,-,6,69
260710 Ingazeira,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,-,5
260720 Ipojuca,17,24,34,34,24,18,9,20,38,36,9,30,21,34,25,24,32,30,42,39,540
260730 Ipubi,-,2,1,2,2,6,-,3,3,5,5,1,3,3,-,6,8,6,10,1,67
260740 Itacuruba,1,3,2,3,-,-,2,2,-,-,-,-,2,2,-,1,-,1,1,-,20
260750 Ita�ba,1,3,3,4,2,10,4,5,8,5,6,7,2,6,4,5,3,2,2,3,85
260765 Itamb�,4,7,5,17,8,10,10,3,5,4,10,12,6,6,15,14,5,3,12,13,169
260770 Itapetim,3,4,1,1,1,2,2,-,3,2,2,-,1,-,1,3,-,-,-,-,26
260775 Itapissuma,2,8,11,5,4,16,-,1,1,4,17,26,19,20,20,17,16,12,4,5,208
260780 Itaquitinga,1,2,1,2,3,1,1,5,1,-,3,4,1,4,3,3,1,2,2,5,45
260790 Jaboat�o dos Guararapes,138,214,356,437,385,458,409,426,445,489,424,441,369,332,241,251,232,223,228,223,6721
260795 Jaqueira,-,1,-,2,1,1,-,1,2,-,-,-,3,2,3,4,2,3,-,1,26
260800 Jata�ba,-,2,2,3,4,3,6,6,3,1,3,3,7,-,1,4,9,3,5,4,69
260805 Jatob�,-,1,5,3,4,11,1,2,2,3,2,2,5,4,2,3,1,3,3,2,59
260810 Jo�o Alfredo,2,4,2,3,6,5,3,4,-,-,2,10,4,2,11,11,12,2,1,3,87
260820 Joaquim Nabuco,-,1,1,7,5,9,2,4,7,1,3,8,4,1,2,-,1,3,8,2,69
260825 Jucati,1,-,1,1,-,2,2,1,-,3,2,2,-,2,3,1,2,-,1,7,31
260830 Jupi,-,1,2,-,4,1,4,9,2,10,6,4,3,5,7,6,5,1,4,6,80
260840 Jurema,1,-,1,3,5,1,1,1,2,2,-,1,4,4,-,2,5,6,3,2,44
260850 Lagoa de Itaenga,1,1,4,2,2,2,4,1,1,4,4,3,6,5,4,3,6,8,15,17,93
260845 Lagoa do Carro,1,-,4,1,1,1,1,6,1,-,2,2,7,3,1,3,-,2,8,7,51
260860 Lagoa do Ouro,2,1,1,-,2,-,2,-,-,2,2,1,-,3,1,1,3,3,1,2,27
260870 Lagoa dos Gatos,2,-,-,1,-,-,3,1,1,3,2,1,2,4,1,3,6,4,5,4,43
260875 Lagoa Grande,-,12,11,9,15,9,8,6,1,4,10,9,5,4,2,3,3,3,2,2,118
260880 Lajedo,10,14,16,11,8,10,6,17,9,8,15,2,6,5,10,8,15,11,14,17,212
260890 Limoeiro,29,37,31,16,30,36,30,32,25,21,29,41,21,24,12,18,7,3,6,14,462
260900 Macaparana,2,2,-,3,-,-,3,1,1,8,2,1,8,2,2,6,1,2,5,2,51
260910 Machados,2,-,2,2,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,12
260915 Manari,-,2,3,1,3,1,3,-,-,4,2,3,4,2,2,-,4,1,1,-,36
260920 Maraial,2,2,1,1,2,2,-,2,-,1,1,1,-,1,2,-,-,-,2,3,23
260930 Mirandiba,5,8,7,1,5,3,1,3,2,1,4,4,1,2,2,2,1,1,1,1,55
261430 Moreil�ndia,2,-,2,2,-,3,2,1,2,-,1,2,-,4,2,2,1,2,1,-,29
260940 Moreno,11,8,12,10,16,8,18,14,19,19,23,21,7,20,19,11,26,17,12,22,313
260950 Nazar� da Mata,1,3,2,5,5,8,9,13,8,6,11,9,14,8,4,11,5,15,13,13,163
260960 Olinda,117,127,236,213,276,280,227,271,219,248,199,181,188,178,143,110,81,105,85,95,3579
260970 Orob�,2,2,1,1,1,1,-,-,-,-,1,-,2,1,1,-,1,-,-,4,18
260980 Oroc�,8,9,7,6,5,9,2,6,3,6,1,6,2,3,4,-,2,2,4,1,86
260990 Ouricuri,8,10,16,14,9,4,11,14,8,14,27,21,17,29,8,12,11,24,26,20,303
261000 Palmares,7,15,29,30,25,22,26,22,24,26,13,20,19,18,18,11,15,11,14,26,391
