codigo_un,municipio,microrregiao,pop,homicidio,taxa_homicidio
260805,Jatoba,Itaparica,11824,4.0,33.82949932341001
260810,Joao Alfredo,Medio Capibaribe,24604,6.0,24.38627865387742
260820,Joaquim Nabuco,Mata Meridional,13378,5.0,37.37479443863059
260825,Jucati,Garanhuns,9454,,
260830,Jupi,Garanhuns,11552,4.0,34.62603878116344
260840,Jurema,Garanhuns,12367,5.0,40.430177084175625
260845,Lagoa do Carro,Mata Setentrional,11942,1.0,8.373806732540613
260850,Lagoa do Itaenga,Lagoa do Itaenga,19210,2.0,10.41124414367517
260860,Lagoa do Ouro,Garanhuns,10504,2.0,19.04036557501904
260870,Lagoa dos Gatos,Brejo,14334,,
260875,Lagoa Grande,Petrolina,18722,15.0,80.11964533703664
260880,Lajedo,Garanhuns,31731,8.0,25.211937852573193
260890,Limoeiro,Medio Capibaribe,57755,30.0,51.94355467059129
260900,Macaparana,Mata Setentrional,24373,,
260910,Machados,Medio Capibaribe,10482,2.0,19.080328181644724
260915,Manari,Moxoto,11731,3.0,25.573267411132896
260920,Maraial,Mata Meridional,11803,2.0,16.944844531051427
260930,Mirandiba,Salgueiro,12428,5.0,40.23173479240425
260940,Moreno,Recife,41276,16.0,38.763446070355656
260950,Nazare da Mata,Mata Setentrional,28723,5.0,17.407652403996796
260960,Olinda,Recife,356418,276.0,77.43716647307375
260970,Orobo,Medio Capibaribe,22606,1.0,4.4236043528266835
260980,Oroco,Petrolina,10631,5.0,47.03226413319537
260990,Ouricuri,Araripina,46821,9.0,19.222143909784073
261000,Palmares,Mata Meridional,55646,25.0,44.92685907342846
261010,Palmeirina,Garanhuns,9781,1.0,10.22390348635109
261020,Panelas,Brejo,24410,,
261030,Paranatama,Garanhuns,13307,,
261040,Parnamirim,Salgueiro,18438,5.0,27.11790866688361
261050,Passira,Medio Capibaribe,26597,2.0,7.519645072752566
261060,Paudalho,Mata Setentrional,42111,13.0,30.870793854337347
261070,Paulista,Recife,253149,113.0,44.637742989306695
261080,Pedra,Vale do Ipanema,19043,4.0,21.005093735230794
261090,Pesqueira,Vale do Ipojuca,53556,6.0,11.203226529240421
261100,Petrolandia,Itaparica,23043,16.0,69.43540337629649
261110,Petrolina,Petrolina,216622,111.0,51.2413328286139
261120,Pocao,Vale do Ipojuca,11264,4.0,35.51136363636363
261130,Pombos,Vitoria,22273,8.0,35.9179275355812
261140,Primavera,Mata Meridional,10717,3.0,27.992908463189327
261150,Quipapa,Mata Meridional,18480,5.0,27.056277056277057
261153,Quixaba,Vale do Pajeu,6798,3.0,44.1306266548985
261160,Recife,Recife,1388193,1227.0,88.38828606685094
261170,Riacho das Almas,Vale do Ipojuca,15979,2.0,12.516427811502597
261180,Ribeirao,Mata Meridional,39363,25.0,63.511419353199706
261190,Rio Formoso,Mata Meridional,20528,4.0,19.485580670303975
261200,Saire,Brejo,14589,,
261210,Salgadinho,Medio Capibaribe,5867,1.0,17.044486108743822
261220,Salgueiro,Salgueiro,50899,13.0,25.540776832550737
261230,Saloa,Garanhuns,15596,2.0,12.823800974608874
261240,Sanharo,Vale do Ipojuca,17297,7.0,40.46944556859571
261245,Santa Cruz,Araripina,11241,2.0,17.79201138688729
261247,Santa Cruz da Baixa Verde,Vale do Pajeu,10608,1.0,9.42684766214178
261250,Santa Cruz do Capibaribe,Alto Capibaribe,51286,29.0,56.545645985259135
261255,Santa Filomena,Araripina,8969,1.0,11.14951499609767
261260,Santa Maria da Boa Vista,Petrolina,34594,14.0,40.46944556859571
261270,Santa Maria do Cambuca,Alto Capibaribe,11621,2.0,17.210222872386197
261280,Santa Terezinha,Vale do Pajeu,9437,,
261290,Sao Benedito do Sul,Mata Meridional,12016,,
261300,Sao Bento do Una,Vale do Ipojuca,48837,13.0,26.619161701169194
261310,Sao Caitano,Sao Caitano,31477,9.0,28.592305492899577
261320,Sao Joao,Garanhuns,18183,1.0,5.499642523235989
261330,Sao Joaquim do Monte,Brejo,20364,1.0,4.9106265959536435
261340,Sao Jose da Coroa Grande,Mata Meridional,14312,6.0,41.922861934041364
261350,Sao Jose do Belmonte,Salgueiro,31275,6.0,19.18465227817746
261360,Sao Jose do Egito,Vale do Pajeu,28955,2.0,6.907269901571404
261370,Sao Lourenco da Mata,Recife,92706,71.0,76.58619722563805
261380,Sao Vicente Ferrer,Medio Capibaribe,16658,3.0,18.00936486973226
261390,Serra Talhada,Vale do Pajeu,67292,23.0,34.17939725375973
261400,Serrita,Salgueiro,15620,1.0,6.402048655569782
261410,Sertania,Moxoto,28162,4.0,14.203536680633478
261420,Sirinhaem,Mata Meridional,30725,15.0,48.82017900732303
261430,Moreilandia,Araripina,13796,,
261440,Solidao,Vale do Pajeu,5174,1.0,19.327406262079627
261450,Surubim,Alto Capibaribe,46600,7.0,15.021459227467812
261460,Tabira,Vale do Pajeu,23774,3.0,12.618827290317153
261470,Tacaimbo,Vale do Ipojuca,10703,,
261480,Tacaratu,Itaparica,15418,4.0,25.94370216629913
261485,Tamandare,Mata Meridional,15976,6.0,37.55633450175263
261500,Taquaritinga do Norte,Alto Capibaribe,20371,8.0,39.271513425948655
261510,Terezinha,Garanhuns,6044,1.0,16.545334215751158
261520,Terra Nova,Petrolina,7261,,
261530,Timbauba,Mata Setentrional,55759,11.0,19.727756954034326
261540,Toritama,Alto Capibaribe,20139,7.0,34.75842891901286
261550,Tracunhaem,Mata Setentrional,12888,3.0,23.277467411545622
261560,Trindade,Araripina,20062,5.0,24.922739507526668
261570,Triunfo,Vale do Pajeu,13918,1.0,7.18494036499497
261580,Tupanatinga,Vale do Ipanema,19305,3.0,15.54001554001554
261590,Tuparetama,Vale do Pajeu,8504,2.0,23.51834430856068
261600,Venturosa,Vale do Ipanema,14200,,
261610,Verdejante,Salgueiro,8642,1.0,11.571395510298542
261618,Vertente do Lerio,Alto Capibaribe,8965,4.0,44.617958728388174
261620,Vertentes,Alto Capibaribe,12376,,
261630,Vicencia,Mata Setentrional,25646,1.0,3.89924354675193
261640,Vitoria de Santo Antao,Vitoria,114449,43.0,37.57131997658345
261650,Xexeu,Mata Meridional,14235,3.0,21.07481559536354
