municipio,pessoas_que_frequentavam_creche_ou_escola_total,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_educacao_infantil_creche,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_educacao_infantil_pre-escolar_(1),pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_alfabetizacao_de_adultos,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_fundamental,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_medio,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_pre-vestibular,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_superior_graduacao,pessoas_que_frequentavam_creche_ou_escola_nivel_de_ensino_superior_mestrado_ou_doutorado,codigo
Jatauba,5165,35,717,345,3862,197,0,9,0,2608008
Jatoba,4922,37,550,192,3274,698,29,143,0,2608057
Joao Alfredo,8686,78,1055,208,6762,532,0,51,0,2608107
Joaquim Nabuco,5228,68,558,91,4126,375,0,10,0,2608206
Jucati,3181,23,300,25,2554,264,0,15,0,2608255
Jupi,4033,101,496,25,2920,384,4,102,0,2608305
Jurema,4428,71,354,96,3611,257,12,27,0,2608404
Lagoa do Carro,4332,19,590,54,3051,555,21,42,0,2608453
Lagoa do Itaenga,6903,112,765,98,5280,617,0,31,0,2608503
Lagoa do Ouro,3693,40,351,81,2846,356,0,19,0,2608602
Lagoa dos Gatos,5108,4,739,214,3818,253,5,74,0,2608701
Lagoa Grande,6204,50,673,180,4738,507,0,55,0,2608750
Lajedo,9686,129,1236,44,6937,1117,13,209,0,2608800
Limoeiro,16760,146,1795,271,11831,2311,61,345,0,2608909
Macaparana,7032,24,843,120,5247,710,0,89,0,2609006
Machados,3020,65,222,64,2363,264,9,34,0,2609105
Manari,4493,0,358,80,3929,116,0,10,0,2609154
Maraial,5013,15,499,158,3996,304,0,42,0,2609204
Mirandiba,4654,94,447,60,3317,645,25,65,0,2609303
Moreilandia,4282,191,372,44,3092,473,7,104,0,2614303
Moreno,16229,133,2525,398,10701,2198,101,172,0,2609402
Nazare da Mata,10466,326,1552,81,6557,1603,0,347,0,2609501
Olinda,121238,1973,17338,530,71319,20212,1748,7692,426,2609600
Orobo,8072,30,1016,120,6005,791,17,93,0,2609709
Oroco,3863,23,343,53,2961,383,3,93,3,2609808
Ouricuri,19039,51,1736,338,14744,1752,27,390,0,2609907
Palmares,18437,120,2438,370,12732,2130,38,609,0,2610004
Palmeirina,3122,23,378,51,2188,372,0,110,0,2610103
Panelas,9768,121,979,152,7638,665,19,196,0,2610202
Paranatama,3351,17,242,36,2800,229,4,23,0,2610301
Parnamirim,5887,98,438,87,4606,561,35,63,0,2610400
Passira,9532,117,965,99,7221,1013,26,90,0,2610509
Paudalho,14150,100,1813,98,10227,1749,0,163,0,2610608
Paulista,89074,1387,13807,414,51655,16730,1111,3860,111,2610707
Pedra,6555,42,1108,97,4759,499,0,51,0,2610806
Pesqueira,18069,125,2663,214,12476,2275,54,253,10,2610905
Petrolandia,9336,29,1298,171,6393,1258,9,178,0,2611002
Petrolina,78191,1521,10100,684,50616,12054,532,2659,25,2611101
Pocao,3550,124,485,90,2589,244,0,18,0,2611200
Pombos,8028,63,1239,397,5623,673,5,27,0,2611309
Primavera,3762,25,386,80,2949,308,0,14,0,2611408
Quipapa,7391,95,413,103,6297,442,0,40,0,2611507
Quixaba,2455,21,217,87,1962,151,0,19,0,2611533
Recife,484797,11152,72542,2609,269278,77430,8538,40521,2727,2611606
Riacho das Almas,4989,51,520,152,3867,381,0,17,0,2611705
Ribeirao,13181,138,1658,181,9499,1462,0,243,0,2611804
Rio Formoso,7377,198,859,106,5136,922,0,155,0,2611903
Saire,3603,28,435,13,2853,243,0,29,0,2612000
Salgadinho,2437,6,308,37,1880,199,0,7,0,2612109
Salgueiro,16939,62,1789,178,12023,2389,69,411,18,2612208
Saloa,4691,0,727,50,3556,330,0,26,0,2612307
Sanharo,4962,193,764,56,3547,330,19,52,0,2612406
Santa Cruz,3620,34,370,110,2937,149,0,20,0,2612455
Santa Cruz da Baixa Verde,3581,8,341,45,2661,494,3,28,0,2612471
Santa Cruz do Capibaribe,16348,413,3268,144,10572,1681,101,159,11,2612505
Santa Filomena,3831,11,228,141,3219,209,4,19,0,2612554
Santa Maria da Boa Vista,14295,135,1295,255,10699,1669,16,225,0,2612604
Santa Maria do Cambuca,3575,19,440,114,2795,202,0,6,0,2612703
Santa Terezinha,3325,75,263,25,2516,348,10,88,0,2612802
Sao Benedito do Sul,3400,2,228,157,2826,154,5,28,0,2612901
Sao Bento do Una,12666,52,820,130,10335,1110,27,184,9,2613008
Sao Caitano,10363,86,1375,92,7813,802,0,185,10,2613107
Sao Joao,6528,0,613,55,5402,363,0,96,0,2613206
Sao Joaquim do Monte,5622,89,409,64,4648,316,12,83,0,2613305
Sao Jose da Coroa Grande,4886,49,660,133,3359,535,13,137,0,2613404
Sao Jose do Belmonte,10576,229,1056,164,7960,986,28,153,0,2613503
Sao Jose do Egito,8979,275,1035,184,6320,998,30,136,0,2613602
Sao Lourenco da Mata,31120,383,4919,186,20640,4227,245,510,9,2613701
Sao Vicente Ferrer,5204,43,570,113,4081,354,23,19,0,2613800
Serra Talhada,22742,125,2514,418,16129,3079,39,428,9,2613909
Serrita,6374,12,449,200,5150,486,28,49,0,2614006
Sertania,10166,13,1675,204,6908,1094,40,232,0,2614105
Sirinhaem,11468,19,2004,364,8198,809,16,49,7,2614204
Solidao,1917,5,108,46,1606,136,0,15,0,2614402
Surubim,15434,112,2447,218,10208,1877,46,502,23,2614501
Tabira,7483,45,853,209,5547,711,0,119,0,2614600
Tacaimbo,4331,26,386,97,3582,216,0,24,0,2614709
Tacaratu,5894,85,609,388,4194,547,0,70,0,2614808
Tamandare,6037,106,1088,220,4169,410,11,27,6,2614857
Taquaritinga do Norte,5525,61,884,36,4044,383,0,110,7,2615003
Terezinha,2114,3,182,58,1698,157,0,15,0,2615102
Terra Nova,2331,29,355,15,1590,290,11,41,0,2615201
Timbauba,17787,132,3688,202,11431,1913,34,388,0,2615300
Toritama,5452,11,774,29,4169,405,7,56,0,2615409
Tracunhaem,4195,71,381,41,3208,438,8,48,0,2615508
Trindade,6949,14,911,107,5062,684,0,171,0,2615607
Triunfo,5512,153,574,204,3640,798,17,126,0,2615706
Tupanatinga,7210,15,827,256,5713,345,0,54,0,2615805
Tuparetama,2437,85,337,13,1601,351,3,48,0,2615904
Venturosa,4685,179,525,113,3372,470,0,26,0,2616001
Verdejante,3005,115,252,22,2238,333,0,44,0,2616100
Vertente do Lerio,3018,0,521,78,2221,172,0,25,0,2616183
Vertentes,3879,18,663,62,2804,274,0,58,0,2616209
Vicencia,11210,100,1130,377,8145,1226,7,225,0,2616308
Vitoria de Santo Antao,35921,381,6682,337,22898,4496,268,817,42,2616407
Xexeu,4570,16,562,65,3591,307,0,30,0,2616506
,,,,,,,,,,
,,,,,,,,,,
"Fonte: IBGE, Censo Demografico 2000.
(1) Inclusive as pessoas que frequentavam classe de alfabetizacao.",,,,,,,,,,
