municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_1_a_3_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_4_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_5_a_7_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_8_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_9_e_10_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_11_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_12_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_13_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_14_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_15_anos_ou_mais,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_nao_determinados,codigo
Sao Joao,15394.0,4138.0,5505.0,2139.0,1940.0,376.0,248.0,640.0,20.0,15.0,0.0,135.0,238.0,2613206.0
Sao Joaquim do Monte,15492.0,4072.0,6235.0,1958.0,1909.0,331.0,262.0,440.0,25.0,48.0,18.0,42.0,153.0,2613305.0
Sao Jose da Coroa Grande,10554.0,2136.0,3155.0,1201.0,1672.0,586.0,543.0,860.0,39.0,34.0,42.0,160.0,127.0,2613404.0
Sao Jose do Belmonte,24706.0,5586.0,8390.0,3634.0,3429.0,845.0,708.0,1466.0,64.0,52.0,19.0,325.0,187.0,2613503.0
Sao Jose do Egito,23800.0,4840.0,5842.0,3941.0,3938.0,1232.0,1114.0,2128.0,76.0,59.0,31.0,299.0,299.0,2613602.0
Sao Lourenco da Mata,72142.0,10359.0,16634.0,11005.0,14786.0,5144.0,4567.0,7937.0,143.0,182.0,238.0,826.0,320.0,2613701.0
Sao Vicente Ferrer,12095.0,2703.0,4495.0,1895.0,1480.0,453.0,258.0,575.0,11.0,13.0,0.0,102.0,111.0,2613800.0
Serra Talhada,56659.0,11287.0,15222.0,8039.0,9227.0,3193.0,2714.0,4583.0,155.0,199.0,212.0,1353.0,475.0,2613909.0
Serrita,13528.0,2967.0,4973.0,1843.0,1848.0,485.0,289.0,505.0,15.0,29.0,49.0,94.0,432.0,2614006.0
Sertania,25443.0,6222.0,6566.0,3596.0,3845.0,1123.0,966.0,1851.0,108.0,118.0,88.0,547.0,414.0,2614105.0
Sirinhaem,25113.0,6180.0,7485.0,3381.0,4454.0,757.0,844.0,1277.0,48.0,33.0,26.0,143.0,485.0,2614204.0
